,SP,KD,Top10,Top20
Degree,0.64966600032976,0.48585143455915125,0.7,0.6
PR,0.37851972477789747,0.2659936072543113,0.4,0.4
K-shell,0.735441227414717,0.5741090516729878,0.0,0.35
MLP,0.7010976253415516,0.5182196405545646,0.2,0.5
GCN,0.7927910828527496,0.6217502384400089,0.9,0.75
SAGE,0.786080731794458,0.602873617681529,0.3,0.2
GAT,0.7482382192796946,0.5567060916173253,0.1,0.2
Ours,0.9093190388397357,0.7547026318736607,0.2,0.3
