,SP,KD,Top10,Top20
Degree,0.7761188049027247,0.5996128865955196,0.4,0.3
PR,0.5585423439557067,0.3920647284585691,0.2,0.2
K-shell,0.825630197105261,0.670818076913995,0.0,0.1
MLP,0.8117751086504449,0.6213273727366658,0.3,0.4
GCN,0.8730788694823064,0.6979787822881678,0.6,0.85
SAGE,0.8351996443081013,0.6449710067725849,0.3,0.45
GAT,0.8331357802790571,0.6388581466607249,0.1,0.35
Ours,0.9402860002786623,0.7901122883116934,0.3,0.5
