,SP,KD,Top10,Top20
Degree,0.788424661895755,0.6111903750907506,0.6,0.5
PR,0.5909911012349919,0.4169480310447936,0.3,0.4
K-shell,0.8299495682703637,0.6747391158631799,0.2,0.1
MLP,0.795466336045101,0.6036258880954577,0.8,0.65
GCN,0.8825949988149766,0.707324322849453,1.0,0.85
SAGE,0.8139702348616757,0.6234388097740223,0.6,0.6
GAT,0.8400694895341164,0.6437199059815766,0.2,0.15
Ours,0.9348361922189627,0.778191292343795,0.4,0.5
