,SP,KD,Top10,Top20
Degree,0.630066706918122,0.4802002373008797,0.4,0.3
PR,0.3392222108298978,0.23148878559297287,0.4,0.25
K-shell,0.6144692450685759,0.49085220546859754,0.0,0.2
MLP,0.5210601630715689,0.36512337499065595,0.2,0.2
GCN,0.6946528193344982,0.5140432067304098,0.6,0.6
SAGE,0.543947131257143,0.38435505902020345,0.2,0.25
GAT,0.7144338515614601,0.5343893770429416,0.5,0.4
Ours,0.7873341911839657,0.600130476442886,0.4,0.55
