,SP,KD,Top10,Top20
Degree,0.7030832202160775,0.5277656598327589,0.8,0.7
PR,0.4829004994019515,0.33987904766486104,0.6,0.5
K-shell,0.7543385483466594,0.5860887856317194,0.1,0.1
MLP,0.6459630379928123,0.47018501483927,0.0,0.0
GCN,0.7821642666657541,0.5967493486089982,0.9,0.7
SAGE,0.6957983565998056,0.5125854691079224,0.0,0.05
GAT,0.7237291900135462,0.5405987658697713,0.0,0.25
Ours,0.8416837973606476,0.668953871581553,0.1,0.15
