,SP,KD,Top10,Top20
Degree,0.7099253098227581,0.5685150802536536,0.3,0.55
PR,0.08763387237477796,0.05269622614409015,0.2,0.25
K-shell,0.7203336479265086,0.5981747030951543,0.3,0.75
MLP,0.4878238662888151,0.3442771294034609,0.6,0.75
GCN,0.6496064128695428,0.4863628242830227,0.7,0.9
SAGE,0.5589896198080647,0.4078461035160204,0.5,0.75
GAT,0.6822879132096803,0.5130362350967774,0.3,0.65
Ours,0.9015725871931987,0.7299131536409038,0.3,0.5
