,SP,KD,Top10,Top20
Degree,0.6156519491814131,0.47215052029456633,0.4,0.3
PR,0.34661682892918283,0.23472486096308137,0.4,0.25
K-shell,0.6234084087950359,0.5018790454115095,0.0,0.15
MLP,0.5021351295780521,0.3548835391875874,0.2,0.25
GCN,0.6935423304915533,0.5178487696479175,0.6,0.5
SAGE,0.5187690775096832,0.36494113250070503,0.0,0.3
GAT,0.7004203008393425,0.5255958084442722,0.4,0.35
Ours,0.8133994989608655,0.6264296344620904,0.3,0.35
