,SP,KD,Top10,Top20
Degree,0.6837932680074258,0.5461037218161497,0.3,0.5
PR,0.09077989775375694,0.05873503866621596,0.2,0.25
K-shell,0.7026821829101274,0.5795390666748828,0.7,0.75
MLP,0.5254796497200794,0.37615170618513233,0.7,0.85
GCN,0.5858579105410293,0.43224568494586074,0.7,0.85
SAGE,0.5665807028983356,0.4102591469438479,0.6,0.8
GAT,0.6628657794274299,0.48788489782980626,0.4,0.65
Ours,0.8825390670359666,0.707555378188456,0.6,0.8
