beta,avg_spread
0.0033063217892701923,6.660699278628175e-05
0.00408781603037042,0.00013965736804418438
0.004869310271470647,0.0003900563819124053
0.005650804512570874,0.0009961221679626931
0.006432298753671102,0.002114822338516517
0.00721379299477133,0.0038356028022359773
0.007995287235871557,0.006220217328787696
0.008776781476971784,0.009345124441602822
0.009558275718072011,0.013296915278188883
0.010339769959172239,0.01808555582180631
0.011121264200272466,0.02329975287542278
0.011902758441372693,0.027166225348703735
