dataset,semantic_dim,mean_spearman,std,num_seeds
Photo,16,0.9158778002639469,0.0027281314580585303,5
Photo,32,0.9139384717570171,0.0034121825174612676,5
Photo,64,0.9110709635911851,0.0012669411535370049,5
Photo,128,0.9085667512201813,0.004046939196808342,5
Photo,256,0.909715741100495,0.0028486236180701573,5
