beta_index,beta
0,0.01918228279386712
1,0.023716276908781166
2,0.028250271023695213
3,0.032784265138609256
4,0.037318259253523306
5,0.041852253368437356
6,0.0463862474833514
7,0.05092024159826544
8,0.05545423571317949
9,0.05998822982809354
10,0.06452222394300758
11,0.06905621805792163
