,mean_spearman,std,num_seeds
struct_only,0.9129,0.0103,5
raw,0.8662,0.0116,5
tfidf,0.8787,0.0076,5
tfidf_svd,0.8877,0.0108,5
tfidf_svd_bridge_dim16,0.8952,0.0143,5
tfidf_svd_bridge_dim32,0.8903,0.0114,5 
tfidf_svd_bridge_dim64,0.8875,0.0106,5
tfidf_svd_bridge_dim128,0.8798,0.008,5
tfidf_svd_bridge_dim256,0.8762,0.0136,5
