,SP,KD,Top10,Top20
Degree,0.6060419978151151,0.4675319300110024,0.3,0.3
PR,0.35872957905078,0.2362208496927369,0.1,0.15
K-shell,0.6523534138432276,0.5255061819879492,0.2,0.6
MLP,0.5881007823346157,0.422195959139079,0.4,0.55
GCN,0.6411879835165344,0.4718535366103815,0.7,0.75
SAGE,0.5396678134859815,0.38585898480174163,0.3,0.45
GAT,0.6861159991480822,0.5025501905288164,0.1,0.45
Ours,0.8597566559239411,0.6830215126288411,0.2,0.5
