,SP,KD,Top10,Top20
Degree,0.6744830090489713,0.5073562568639005,0.6,0.55
PR,0.39663864376202745,0.2799401056008936,0.4,0.4
K-shell,0.7537609809898095,0.5907854305230704,0.0,0.1
MLP,0.7288273606836642,0.5459821261122613,0.2,0.4
GCN,0.8225590724195587,0.6389400429089792,0.6,0.75
SAGE,0.7664744270270686,0.5895289945090779,0.2,0.3
GAT,0.8171292180217214,0.6207094406330836,0.0,0.0
Ours,0.9144111238961656,0.7612364857505856,0.0,0.2
