epoch,loss,rank,reg,topk,spearman,kendall,top5,top10,top20
1,0.6082194447517395,0.25371086597442627,0.4731753170490265,0.1417039930820465,0.7797574458677342,0.583262173601546,0.0,0.0,0.05
2,0.7135301232337952,0.15884818136692047,1.5533509254455566,0.05911774933338165,0.7643366713278861,0.5654277382837594,0.0,0.0,0.0
3,0.3227826952934265,0.14380884170532227,0.3759959936141968,0.044116705656051636,0.7927141504124786,0.5969706663282723,0.0,0.0,0.0
4,0.2742167115211487,0.131532222032547,0.3220069408416748,0.030721597373485565,0.8440924187728062,0.656471658158342,0.0,0.0,0.1
5,0.24424877762794495,0.1121777892112732,0.3417128324508667,0.019704759120941162,0.8638101609568373,0.6769744732637686,0.0,0.0,0.0
6,0.20428332686424255,0.1069323793053627,0.24033038318157196,0.016834555193781853,0.8653629135101183,0.679974197437192,0.0,0.0,0.2
7,0.1821468472480774,0.09688892960548401,0.21352040767669678,0.014134529046714306,0.8677794984924885,0.6836101733301256,0.0,0.2,0.35
8,0.17969970405101776,0.09937281161546707,0.20343180000782013,0.012864897958934307,0.8727006425451,0.6906753391986098,0.0,0.2,0.3
9,0.17651882767677307,0.100873202085495,0.19467811286449432,0.011494794860482216,0.875098529735958,0.6935980915973354,0.0,0.1,0.25
10,0.17161278426647186,0.10321276634931564,0.18077914416790009,0.00944418366998434,0.8717644352913495,0.689505635938881,0.0,0.1,0.25
11,0.16731087863445282,0.10311152786016464,0.17064033448696136,0.008671505376696587,0.8725057429170543,0.6905361039964258,0.0,0.0,0.2
12,0.1618175506591797,0.09832590073347092,0.17522810399532318,0.007282143924385309,0.8792093826374023,0.6996944758017255,0.0,0.0,0.05
13,0.15881650149822235,0.09162537753582001,0.19135870039463043,0.0065223416313529015,0.8851144698758524,0.7089738810738024,0.0,0.0,0.05
14,0.1586650162935257,0.08927252143621445,0.20121298730373383,0.006019062828272581,0.8885286713931863,0.7146349351543174,0.0,0.0,0.05
15,0.15598049759864807,0.0869879201054573,0.20348991453647614,0.005297060124576092,0.8910383996498136,0.718933599818818,0.0,0.0,0.1
16,0.1556168496608734,0.0856064110994339,0.20277628302574158,0.006118364632129669,0.8927816041651163,0.7220831339538989,0.0,0.0,0.1
17,0.15322886407375336,0.0864141434431076,0.19614242017269135,0.005314660724252462,0.893909112879193,0.7243338083190353,0.0,0.0,0.1
18,0.15389001369476318,0.08821824193000793,0.1925056427717209,0.005280047655105591,0.8948169310931703,0.7258230955849241,0.0,0.0,0.1
19,0.15254820883274078,0.08846224844455719,0.18566125631332397,0.005591722670942545,0.8952167827399345,0.7263483116857937,0.0,0.0,0.1
20,0.15282446146011353,0.09087903052568436,0.1823495328426361,0.004827046301215887,0.8954004255832434,0.7262372760671536,0.0,0.0,0.1
21,0.15121711790561676,0.08963457494974136,0.18123453855514526,0.004808121360838413,0.8961560729670772,0.7275133044464477,0.0,0.0,0.1
22,0.15150666236877441,0.08981980383396149,0.18329212069511414,0.004466149024665356,0.8974589427848128,0.7301182353091504,0.0,0.0,0.1
23,0.1491728574037552,0.08783884346485138,0.18551026284694672,0.0037872870452702045,0.8993052658280998,0.7337224867396152,0.0,0.0,0.25
24,0.1478862315416336,0.08484570682048798,0.189775288105011,0.0040719639509916306,0.9013830322890585,0.737663369966275,0.0,0.0,0.25
25,0.1489798128604889,0.08659729361534119,0.18865811824798584,0.0038567145820707083,0.90330773032235,0.7413751320751059,0.0,0.0,0.25
26,0.14647234976291656,0.08401522040367126,0.19026266038417816,0.0035855507012456656,0.9049494642426215,0.7443396068457864,0.0,0.0,0.25
27,0.14722466468811035,0.0845099687576294,0.18946729600429535,0.0039163320325315,0.9064739179302322,0.7467312788218944,0.0,0.0,0.25
28,0.14606070518493652,0.0851736068725586,0.18598231673240662,0.003394926665350795,0.9077457434961222,0.7487757441809845,0.0,0.0,0.25
29,0.14511342346668243,0.08454912155866623,0.18514509499073029,0.003347182646393776,0.9085871219621645,0.750261506506599,0.0,0.0,0.25
30,0.1471165418624878,0.08560586720705032,0.18523114919662476,0.003960887901484966,0.9093235551490124,0.751895316323734,0.0,0.0,0.25
31,0.14677156507968903,0.08520343899726868,0.18875405192375183,0.003294604364782572,0.9100293508078929,0.7535696629540232,0.0,0.0,0.25
32,0.1462489366531372,0.08458996564149857,0.1888788938522339,0.0033301962539553642,0.9105956822515706,0.7551118243240265,0.0,0.0,0.25
33,0.14281927049160004,0.08054579794406891,0.19199374318122864,0.0031168940477073193,0.911008433356494,0.7564583515088066,0.0,0.0,0.25
34,0.14389057457447052,0.08202572166919708,0.1927846521139145,0.0026863045059144497,0.9111625431375378,0.7573360616371055,0.0,0.0,0.25
35,0.14523255825042725,0.08320263028144836,0.19273991882801056,0.0028053002897650003,0.911132421026898,0.7576726934333006,0.0,0.0,0.25
36,0.1447373777627945,0.08211435377597809,0.19399330019950867,0.0029500259552150965,0.91110855755524,0.7577784416415293,0.0,0.0,0.25
37,0.14451681077480316,0.08148998767137527,0.1955828070640564,0.0029013152234256268,0.9112395682250168,0.7579758382968897,0.0,0.0,0.25
38,0.14298444986343384,0.08103639632463455,0.192918598651886,0.002714978065341711,0.911656632005541,0.7584940045172109,0.0,0.0,0.25
39,0.14352530241012573,0.08268103003501892,0.19000838696956635,0.002561173401772976,0.9120849543237516,0.7588976101786175,0.0,0.0,0.25
40,0.14161279797554016,0.08115202933549881,0.1887158453464508,0.0025640162639319897,0.9122885967618791,0.7589628215736919,0.0,0.0,0.25
41,0.14162248373031616,0.08146528899669647,0.18819694221019745,0.0024654073640704155,0.9125282798443165,0.7593399901830412,0.0,0.0,0.25
42,0.14519113302230835,0.0845743864774704,0.18872135877609253,0.0026668901555240154,0.9131194530007033,0.7605455197568495,0.0,0.0,0.25
43,0.1419285237789154,0.08106940239667892,0.19087691605091095,0.002397357951849699,0.9136035280463358,0.7615624650259831,0.0,0.0,0.25
44,0.14146670699119568,0.07889963686466217,0.19623492658138275,0.0024643908254802227,0.9142685075615825,0.7626111347575854,0.0,0.1,0.25
45,0.1424497663974762,0.07974383234977722,0.1975308209657669,0.002297791885212064,0.9148153583340097,0.7634377332519071,0.0,0.1,0.3
46,0.14230068027973175,0.08019667863845825,0.1944940984249115,0.002503844676539302,0.9151762626632339,0.7637109161231648,0.0,0.1,0.3
47,0.1417107731103897,0.07979527860879898,0.19517794251441956,0.0022414028644561768,0.9155303368363037,0.7641127593144342,0.0,0.1,0.3
48,0.14317892491817474,0.08129366487264633,0.1931234896183014,0.0026321413461118937,0.9158067863547983,0.7647666357353157,0.0,0.1,0.3
49,0.1404738426208496,0.07925736159086227,0.1918189972639084,0.0024471839424222708,0.9160083075175286,0.7655491724762087,0.0,0.1,0.3
50,0.1431765854358673,0.08211775124073029,0.19162259995937347,0.0023813669104129076,0.9162643883360109,0.7662959162227819,0.0,0.1,0.3
51,0.14216843247413635,0.08128378540277481,0.1929648220539093,0.0019967982079833746,0.9163452642253271,0.76681462603468,0.0,0.1,0.3
52,0.1402571052312851,0.0791688784956932,0.19256654381752014,0.002212179359048605,0.9163867290234211,0.7672058944051267,0.0,0.1,0.35
53,0.14112450182437897,0.07954221963882446,0.19441519677639008,0.0021718128118664026,0.9163887380991279,0.7674667399854244,0.0,0.2,0.35
54,0.13954107463359833,0.07789638638496399,0.1950709968805313,0.00208225566893816,0.9163220423956487,0.7673504169563726,0.0,0.2,0.35
55,0.14051491022109985,0.07897113263607025,0.1932309865951538,0.002382987178862095,0.916127971993611,0.7673627542473327,0.0,0.2,0.35
56,0.14191536605358124,0.0803290456533432,0.19496186077594757,0.0020651735831052065,0.9160782963836714,0.7671630519123334,0.0,0.2,0.35
57,0.1392146646976471,0.07790561020374298,0.19456151127815247,0.0019603935070335865,0.9160196992923475,0.7671089585475834,0.0,0.2,0.35
58,0.13877999782562256,0.07734517753124237,0.19458366930484772,0.0020398066844791174,0.9159477231909376,0.7671089585475834,0.0,0.2,0.35
59,0.14127042889595032,0.07992956787347794,0.19505010545253754,0.001883883262053132,0.9158098963899672,0.7670084977497661,0.0,0.2,0.35
60,0.13985677063465118,0.07887140661478043,0.19374309480190277,0.0019082907820120454,0.9159202553042247,0.7669767732872975,0.0,0.2,0.35
61,0.13988789916038513,0.07957576215267181,0.19088946282863617,0.002030195202678442,0.9158305060706029,0.7665396806932852,0.0,0.2,0.35
62,0.13875441253185272,0.07819528132677078,0.1916687786579132,0.0020389938727021217,0.9156780372100316,0.7662841225233988,0.0,0.2,0.35
63,0.13966232538223267,0.07953939586877823,0.19119518995285034,0.0018429129850119352,0.9155210768556028,0.7661061130395471,0.0,0.2,0.35
64,0.14131233096122742,0.08091144263744354,0.19109001755714417,0.002049259375780821,0.9154106758664616,0.7659439657869296,0.0,0.2,0.35
65,0.14019379019737244,0.078830786049366,0.1922629326581955,0.0024560836609452963,0.9152361106793566,0.7658628921606209,0.0,0.2,0.35
66,0.14239953458309174,0.08124657720327377,0.1930876225233078,0.002151108579710126,0.9150146705653348,0.7656390584532032,0.0,0.2,0.35
67,0.13862602412700653,0.07687851786613464,0.19586144387722015,0.001992714125663042,0.9148735549109388,0.7657025073781405,0.0,0.2,0.35
68,0.13896547257900238,0.07733497768640518,0.19674618542194366,0.0017377635231241584,0.9150976106802438,0.7661061130395471,0.0,0.2,0.35
69,0.13806982338428497,0.07615764439105988,0.1970238983631134,0.0018700099317356944,0.9154571055008571,0.7666665785431597,0.0,0.2,0.35
70,0.14024317264556885,0.07891878485679626,0.1960199922323227,0.0016789230285212398,0.9157637717984803,0.7670225975108633,0.0,0.2,0.35
71,0.1385149508714676,0.07742448896169662,0.1937563568353653,0.0019757095724344254,0.9160171247617722,0.7672599878125881,0.0,0.2,0.35
72,0.13910803198814392,0.07805183529853821,0.19445165991783142,0.0018137944862246513,0.9162310063718275,0.7676447494692761,0.0,0.2,0.35
73,0.1386803388595581,0.07654527574777603,0.19814079999923706,0.0017952121561393142,0.9162863944502556,0.7678262838934021,0.0,0.2,0.35
74,0.13865695893764496,0.07674039155244827,0.19849269092082977,0.001579173025675118,0.9162010280170412,0.7677434477969564,0.0,0.2,0.35
75,0.13716645538806915,0.0749264508485794,0.1993529200553894,0.0016227485612034798,0.9160872715559081,0.7675019893881672,0.0,0.2,0.35
76,0.1379784345626831,0.07564094662666321,0.19934651255607605,0.0016890125116333365,0.9158127189134296,0.7670648967941548,0.0,0.2,0.35
77,0.13762296736240387,0.07603077590465546,0.1975117176771164,0.0015591178089380264,0.9155549716808332,0.7664973814099936,0.0,0.2,0.35
78,0.13933315873146057,0.07793471217155457,0.1960740089416504,0.0017175029497593641,0.9155079810479857,0.7664603695371135,0.0,0.2,0.35
79,0.13819147646427155,0.0772109106183052,0.19388848543167114,0.001876004971563816,0.9155343970626009,0.7664480322461535,0.0,0.2,0.35
80,0.13783887028694153,0.07709582149982452,0.19343243539333344,0.0018088839715346694,0.9154501596387715,0.7667035904160397,0.0,0.2,0.35
81,0.13828504085540771,0.07757814228534698,0.1935199499130249,0.0017672787653282285,0.9151015481881296,0.7664709443579364,0.0,0.2,0.35
82,0.1369776874780655,0.07570812106132507,0.1956707388162613,0.0017122309654951096,0.9144966340759058,0.7657236570197862,0.0,0.2,0.35
83,0.13714995980262756,0.07520659267902374,0.19798965752124786,0.0016976440092548728,0.9140008622125462,0.7650539183676706,0.0,0.2,0.35
84,0.1405404657125473,0.07804860919713974,0.20047327876091003,0.0015665778191760182,0.9137986090465869,0.7645017208326127,0.0,0.2,0.35
85,0.13903619349002838,0.07646850496530533,0.20019195973873138,0.001673398190177977,0.9141226865326691,0.7648353720706643,0.0,0.2,0.35
