epoch,loss,rank,reg,topk,spearman,kendall,top5,top10,top20
1,1.0017309188842773,0.38395956158638,0.6322612166404724,0.2853953540325165,0.7213961136311028,0.5266662241419983,0.0,0.0,0.0
2,0.7371358871459961,0.18774300813674927,1.4899860620498657,0.06826474517583847,0.6662858456893974,0.4803027305880517,0.0,0.0,0.05
3,0.38879281282424927,0.1738538146018982,0.403727263212204,0.06254719942808151,0.8266329806771099,0.6352361367472611,0.2,0.1,0.2
4,0.26397624611854553,0.12184441089630127,0.3452395498752594,0.025706646963953972,0.8764843763882944,0.6954232727712845,0.0,0.0,0.15
5,0.21522162854671478,0.10666272044181824,0.26896753907203674,0.01857909746468067,0.862703145957604,0.6782765221232959,0.0,0.0,0.05
6,0.20285314321517944,0.10965099930763245,0.23795588314533234,0.014543588273227215,0.8532453837873709,0.6696120622928272,0.0,0.0,0.05
7,0.19036833941936493,0.11020456254482269,0.1935938596725464,0.014723744243383408,0.8719648985910866,0.6951508070203529,0.0,0.0,0.1
8,0.18298697471618652,0.11042790859937668,0.179397314786911,0.012493247166275978,0.891204414444285,0.7194910136412939,0.0,0.0,0.1
9,0.17755046486854553,0.10404768586158752,0.19278326630592346,0.010445198975503445,0.9011074098349035,0.7327337614752338,0.0,0.0,0.15
10,0.17029784619808197,0.09451159089803696,0.21006149053573608,0.008511871099472046,0.9071276266478187,0.7411962412672772,0.0,0.0,0.15
11,0.165762796998024,0.08854936063289642,0.21821768581867218,0.007832080125808716,0.9116415459488082,0.7470590063966338,0.0,0.0,0.1
12,0.160920187830925,0.08736680448055267,0.2109425961971283,0.006847069598734379,0.9133511068563598,0.7494915765681279,0.0,0.0,0.1
13,0.16214190423488617,0.09266389161348343,0.20018044114112854,0.006282585673034191,0.9139243783953087,0.7505958161113258,0.0,0.0,0.15
14,0.15330828726291656,0.08802291750907898,0.19291801750659943,0.004939976613968611,0.9148000150030648,0.7523592817613669,0.0,0.0,0.25
15,0.15463800728321075,0.09040232002735138,0.19059422612190247,0.004704940132796764,0.9165526891663124,0.7552093091944699,0.0,0.1,0.25
16,0.1506626158952713,0.08721310645341873,0.19176046550273895,0.003947571385651827,0.9193470978659274,0.7596489630240615,0.0,0.1,0.25
17,0.14940589666366577,0.08588487654924393,0.19356277585029602,0.0036347906570881605,0.921659042541577,0.7632380371569855,0.0,0.1,0.2
18,0.1490967720746994,0.08583449572324753,0.19402724504470825,0.0033693991135805845,0.9229983360765942,0.7652512519888393,0.0,0.0,0.25
19,0.14939482510089874,0.08667366951704025,0.19330881536006927,0.0031523366924375296,0.9240103551327161,0.7667401176344945,0.0,0.0,0.15
20,0.14532357454299927,0.08329029381275177,0.19090773165225983,0.0031739650294184685,0.9250194941861712,0.7682808524378623,0.0,0.0,0.15
21,0.145802304148674,0.08540074527263641,0.18783153593540192,0.002701388904824853,0.9259754976410428,0.7698850717305152,0.0,0.0,0.15
22,0.1469842940568924,0.08584809303283691,0.18763424456119537,0.0032306250650435686,0.9269509854207971,0.7715057636175889,0.0,0.0,0.15
23,0.14490647614002228,0.0840643048286438,0.18815912306308746,0.0029296190477907658,0.9278403773419934,0.7730132296654184,0.0,0.0,0.15
24,0.14475248754024506,0.084189772605896,0.18904972076416016,0.002565194619819522,0.9286317889006138,0.7744130324555111,0.0,0.0,0.15
25,0.14249613881111145,0.08099497854709625,0.19177855551242828,0.0026450534351170063,0.9294261692726414,0.7758251037650702,0.0,0.0,0.2
26,0.14181014895439148,0.07970546185970306,0.1950870007276535,0.002385722706094384,0.9302312508287849,0.777263626618936,0.0,0.0,0.25
27,0.14332754909992218,0.08138947188854218,0.19698664546012878,0.001894722692668438,0.9310492953599938,0.7786936133093776,0.0,0.0,0.25
28,0.14305801689624786,0.08010606467723846,0.19871138036251068,0.002225691918283701,0.9318488301004174,0.7801442687847162,0.0,0.0,0.2
29,0.14233137667179108,0.07947715371847153,0.19918303191661835,0.002066204324364662,0.9326225184106047,0.781522625204826,0.0,0.0,0.2
30,0.1403130292892456,0.07730598747730255,0.199246346950531,0.0021554185077548027,0.9333323073663129,0.7828202166489052,0.0,0.0,0.2
31,0.13997219502925873,0.0774090439081192,0.19877581298351288,0.001953601138666272,0.9339588771332731,0.7839625948665792,0.0,0.0,0.2
32,0.14166900515556335,0.07920286804437637,0.19775338470935822,0.0020934115163981915,0.9345529411121293,0.7851210572566931,0.0,0.0,0.25
33,0.14195804297924042,0.07996263355016708,0.1969141662120819,0.0019474296132102609,0.9350796751025813,0.7862202273766892,0.0,0.0,0.2
34,0.14065134525299072,0.07860007882118225,0.1963815540075302,0.002091196831315756,0.9355290446236347,0.7871084410815388,0.0,0.1,0.25
35,0.13884574174880981,0.07699276506900787,0.19672630727291107,0.0018900519935414195,0.9358812476305053,0.7878489061902315,0.0,0.2,0.25
36,0.13960222899913788,0.07805662602186203,0.19691570103168488,0.0016472612041980028,0.9361712332664885,0.7884181907651103,0.2,0.2,0.3
37,0.14015284180641174,0.07811933010816574,0.19748342037200928,0.001858991920016706,0.9363896812824738,0.7888888531562152,0.4,0.2,0.25
38,0.1403893232345581,0.07772590219974518,0.19902026653289795,0.001971558667719364,0.9366391281020107,0.7894203285791788,0.4,0.2,0.25
39,0.13726171851158142,0.0747942104935646,0.2001139372587204,0.0016222224803641438,0.9368630925337127,0.7898901247560131,0.4,0.2,0.3
40,0.13732284307479858,0.07464125752449036,0.20165807008743286,0.001456107827834785,0.9370146084757459,0.790240539568495,0.4,0.2,0.3
41,0.13938909769058228,0.07640621066093445,0.20238590240478516,0.0015114130219444633,0.9372569363904998,0.7907169368235597,0.4,0.2,0.35
42,0.13838572800159454,0.07500290125608444,0.20336726307868958,0.001581759424880147,0.9375268059211321,0.7912442924409173,0.4,0.2,0.35
43,0.13595286011695862,0.07319523394107819,0.2028575837612152,0.0012668968411162496,0.9378058384240566,0.7917990982753791,0.4,0.2,0.35
44,0.13923268020153046,0.07633575052022934,0.20212110877037048,0.0015070607187226415,0.9380943546973095,0.7923405708954767,0.4,0.2,0.35
45,0.1385720670223236,0.07603470236063004,0.20062977075576782,0.0015656104078516364,0.9383731941341539,0.7928655548997836,0.4,0.2,0.35
46,0.13753794133663177,0.07561931014060974,0.19940254092216492,0.001398571883328259,0.9386634399806573,0.7934263143786431,0.4,0.2,0.4
47,0.13718897104263306,0.0753655880689621,0.19845335185527802,0.0015249105636030436,0.9389425566040198,0.7939663068211258,0.4,0.2,0.4
