,SP,KD,Top10,Top20
Degree,0.6265389893555705,0.4842643299846539,0.5,0.4
PR,0.39255732955512596,0.2587095064146849,0.0,0.0
K-shell,0.6647772024073015,0.5369956398654608,0.4,0.65
MLP,0.6094987982557534,0.439615075141191,0.1,0.4
GCN,0.6541745389042062,0.4830849289935423,0.6,0.8
SAGE,0.5889033776930223,0.42341634305799103,0.2,0.35
GAT,0.6805655434476067,0.49749823019986156,0.1,0.25
Ours,0.8615459327114071,0.6839622359422178,0.5,0.5
