,SP,KD,Top10,Top20
Degree,0.7472639413718761,0.5709507981346442,0.5,0.6
PR,0.3859409591157208,0.2654908036355151,0.2,0.25
K-shell,0.8393145181455505,0.6851644957690891,0.0,0.05
MLP,0.7767866381562964,0.5908698592977558,0.2,0.2
GCN,0.8386712778861096,0.6701256300904739,0.8,0.85
SAGE,0.7819109289945263,0.5978449085810459,0.4,0.3
GAT,0.8518044881736829,0.6636483468172082,0.0,0.0
Ours,0.9453624738258332,0.8086284493668698,0.3,0.35
