,SP,KD,Top10,Top20
Degree,0.756874870859714,0.5805483142313382,0.6,0.6
PR,0.39556490823820883,0.27201844318457563,0.3,0.3
K-shell,0.8433671924564813,0.6893170399412676,0.0,0.15
MLP,0.8027992314373654,0.618313187824427,0.2,0.35
GCN,0.8410287782794575,0.6749216768297684,0.8,0.7
SAGE,0.7824668120216208,0.5994584049743326,0.3,0.5
GAT,0.8370443052038328,0.6464879770097295,0.0,0.0
Ours,0.94734437964879,0.8098673245958632,0.4,0.4
