,SP,KD,Top10,Top20
Degree,0.7184886192470729,0.5746613238515031,0.6,0.65
PR,0.12604233323088382,0.0813362602381829,0.4,0.3
K-shell,0.7145467342867272,0.5911748791590156,0.7,0.7
MLP,0.60460349731948,0.43899654749972156,0.7,0.85
GCN,0.6526017224926383,0.48477929984779294,0.8,0.9
SAGE,0.5365584540218971,0.3879700783309203,0.4,0.7
GAT,0.6883948395631685,0.5189145042135352,0.7,0.7
Ours,0.8866365744995669,0.7104261796042617,0.5,0.8
