method,SP_mean,KD_mean,SP_std,KD_std
Semantic_only,0.7574427771538991,0.5839527754879684,0.12062967413202887,0.11952524483337348
Struct+Semantic,0.8887146683301997,0.7268664415840209,0.05239060487119138,0.06999809399369776
Struct_only,0.896979179284809,0.7373808245905583,0.04212242190634866,0.05898104169396728
