method,L0,L1,L2,L3_Full
L0,1.0,0.6485207885553945,0.038622429553450834,0.003301651736978824
L1,0.6485207885553945,1.0,0.003501222967250856,0.018394351514896344
L2,0.038622429553450834,0.003501222967250856,1.0,0.043687312063028956
L3_Full,0.003301651736978824,0.018394351514896344,0.043687312063028956,1.0
