method,SP_mean,KD_mean,SP_std,KD_std
L0,0.715027854636673,0.5415801475393488,0.1362692293539065,0.1268958634876253
L1,0.7236565737101411,0.5575235778776023,0.17456660113070563,0.16201018798562136
L2,0.766246531233395,0.598237005710548,0.16314676318843666,0.158562297557059
L3_Full,0.888463553589286,0.726512794412636,0.05248046270632882,0.0700792569129404
