method,L0,L1,L2,L3_Full
L0,1.0,1.0,0.2440529029901196,0.002442358574826553
L1,1.0,1.0,0.2440529029901196,0.002442358574826553
L2,0.2440529029901196,0.2440529029901196,1.0,0.34717374240649124
L3_Full,0.002442358574826553,0.002442358574826553,0.34717374240649124,1.0
