dataset,method,beta_scale,ratio,mean,std
CS,Ours,0.8,0.1,0.31135092176808066,0.04776388416047773
CS,Ours,0.9,0.01,0.15825067949904342,0.05706169820930022
CS,Ours,0.9,0.05,0.4360970560256171,0.03834815725195734
CS,Ours,0.9,0.1,0.5802003530413308,0.03023862654601903
CS,Ours,1.0,0.01,0.13511118902501107,0.0725804542297157
CS,Ours,1.0,0.05,0.5336274668259869,0.04727779837983771
CS,Ours,1.0,0.1,0.7385167745837793,0.02156581489210146
CS,Ours,1.1,0.01,0.12853261566919005,0.060835111249651054
CS,Ours,1.1,0.05,0.5075455124508615,0.019318028605761504
CS,Ours,1.1,0.1,0.7554183689511962,0.021104667199380197
CS,Ours,1.2,0.01,0.06665875506645647,0.021273060900073592
CS,Ours,1.2,0.05,0.3892208861404337,0.01092339357589275
CS,Ours,1.2,0.1,0.6744329698323838,0.032534166046020586
CS,Ours,1.5,0.01,0.049213155176694,0.04554157736109607
CS,Ours,1.5,0.05,0.2544151576101327,0.024999640966442395
CS,Ours,1.5,0.1,0.441889549104832,0.03298323244160533
CS,Ours,2.0,0.01,0.0321320951580457,0.008453208072811613
CS,Ours,2.0,0.05,0.14694565004939258,0.012367472315382681
CS,Ours,2.0,0.1,0.2987536595478099,0.01658912044102519
CS,Ours_Adaptive,0.8,0.01,0.04109473545186569,0.08791252661722637
CS,Ours_Adaptive,0.8,0.05,0.2141408815108782,0.02677024680497975
CS,Ours_Adaptive,0.8,0.1,0.31108689260327965,0.04825992195116694
CS,Ours_Adaptive,0.9,0.01,0.1885843628792639,0.057407822589656626
CS,Ours_Adaptive,0.9,0.05,0.4492534644665076,0.030121995897372238
CS,Ours_Adaptive,0.9,0.1,0.594497793149696,0.04173105516798506
CS,Ours_Adaptive,1.0,0.01,0.14957972656927992,0.07626383191244336
CS,Ours_Adaptive,1.0,0.05,0.5245890314550203,0.040156596784090434
CS,Ours_Adaptive,1.0,0.1,0.7380291067449131,0.026238719763758266
CS,Ours_Adaptive,1.1,0.01,0.12453108688110473,0.049425033556127505
CS,Ours_Adaptive,1.1,0.05,0.5022630945974484,0.012082486954660552
CS,Ours_Adaptive,1.1,0.1,0.7523117612602085,0.031724837395489064
CS,Ours_Adaptive,1.2,0.01,0.07259403276421003,0.023311986528373893
