dataset,method,beta_scale,ratio,mean,std
Computers,Betweenness_Adaptive,0.9,0.01,0.29081836643959874,0.04320709686349095
Computers,Betweenness_Adaptive,0.9,0.05,0.3263030205245846,0.035867690601325
Computers,Betweenness_Adaptive,0.9,0.1,0.32121428212439673,0.04956089900977253
Computers,Betweenness_Adaptive,1.0,0.01,0.4353529404946518,0.0455430452941735
Computers,Betweenness_Adaptive,1.0,0.05,0.4769740315573502,0.038217695237827504
Computers,Betweenness_Adaptive,1.0,0.1,0.4822868222460608,0.04751628019679428
Computers,Betweenness_Adaptive,1.1,0.01,0.6031037679298629,0.03429639323991013
Computers,Betweenness_Adaptive,1.1,0.05,0.6458711561749623,0.02669909501924124
Computers,Betweenness_Adaptive,1.1,0.1,0.6585036523629185,0.034901171618014835
Computers,Betweenness_Adaptive,1.2,0.01,0.7162667248866029,0.022507585525583018
Computers,Betweenness_Adaptive,1.2,0.05,0.7633826465412875,0.02331556505459248
Computers,Betweenness_Adaptive,1.2,0.1,0.7744886697794232,0.029388299896705924
Computers,Betweenness_Adaptive,1.5,0.01,0.8781235634006903,0.010541520764599093
Computers,Betweenness_Adaptive,1.5,0.05,0.9345880812130984,0.005194965993131528
Computers,Betweenness_Adaptive,1.5,0.1,0.9441372613238028,0.007032230647105772
Computers,Betweenness_Adaptive,2.0,0.01,0.7583162262397035,0.021400452907390725
Computers,Betweenness_Adaptive,2.0,0.05,0.9562516416591015,0.0035237804526218495
Computers,Betweenness_Adaptive,2.0,0.1,0.980419669672288,0.001370457288000236
Computers,Degree,0.8,0.01,0.24510220268918986,0.03990091833277119
Computers,Degree,0.8,0.05,0.25841255903882115,0.04369975684918848
Computers,Degree,0.8,0.1,0.23628637096219682,0.044039338312335814
Computers,Degree,0.9,0.01,0.35232671806033317,0.04434044090019148
Computers,Degree,0.9,0.05,0.37276141556885733,0.05287113160848155
Computers,Degree,0.9,0.1,0.3539839482429471,0.05340872607803396
Computers,Degree,1.0,0.01,0.5009497220083017,0.043293000350644706
Computers,Degree,1.0,0.05,0.522456923333855,0.04934706103174687
Computers,Degree,1.0,0.1,0.511550742821741,0.04890399640354951
Computers,Degree,1.1,0.01,0.6672682129468128,0.03465977919565952
Computers,Degree,1.1,0.05,0.686225697411758,0.03862971349684329
Computers,Degree,1.1,0.1,0.6798315402116389,0.03918551508334952
Computers,Degree,1.2,0.01,0.7781851905903235,0.02945153174641435
Computers,Degree,1.2,0.05,0.7948647302060078,0.032210948496453735
Computers,Degree,1.2,0.1,0.7910508940435408,0.03279172591074574
Computers,Degree,1.5,0.01,0.9432700060354786,0.0062278576382442255
Computers,Degree,1.5,0.05,0.9508710830679836,0.007985019181678057
Computers,Degree,1.5,0.1,0.95053096519554,0.008242407047243246
Computers,Degree,2.0,0.01,0.9790215542531102,0.001734478649381569
Computers,Degree,2.0,0.05,0.9851090473902209,0.0018486745578866481
Computers,Degree,2.0,0.1,0.9855837142487547,0.0018219271980323764
Computers,Degree_Adaptive,0.8,0.01,0.24440135916921032,0.038946821550415386
Computers,Degree_Adaptive,0.8,0.05,0.2593948274053457,0.04356528517319813
Computers,Degree_Adaptive,0.8,0.1,0.23426247654545668,0.044837461814141506
Computers,Degree_Adaptive,0.9,0.01,0.3502168753571936,0.04214151726528689
Computers,Degree_Adaptive,0.9,0.05,0.37255606996763735,0.0538045071773378
Computers,Degree_Adaptive,0.9,0.1,0.3540819592153944,0.05322103630096205
Computers,Degree_Adaptive,1.0,0.01,0.5016401553491974,0.04226567769181292
Computers,Degree_Adaptive,1.0,0.05,0.5235582425542675,0.048656361228167896
Computers,Degree_Adaptive,1.0,0.1,0.5107338049449759,0.04777954818801174
Computers,Degree_Adaptive,1.1,0.01,0.6677883018356359,0.03469215633725145
Computers,Degree_Adaptive,1.1,0.05,0.685764081060594,0.03991634252895029
Computers,Degree_Adaptive,1.1,0.1,0.6798843580932956,0.03919734695040433
Computers,Degree_Adaptive,1.2,0.01,0.7788071705349048,0.02839181499179208
Computers,Degree_Adaptive,1.2,0.05,0.7949423323870289,0.0326139730781706
Computers,Degree_Adaptive,1.2,0.1,0.791317176286501,0.03287079307064371
Computers,Degree_Adaptive,1.5,0.01,0.9435443716103421,0.007221921915073375
Computers,Degree_Adaptive,1.5,0.05,0.950579321519319,0.00813122375358447
Computers,Degree_Adaptive,1.5,0.1,0.9506542071537393,0.007810957024558717
Computers,Degree_Adaptive,2.0,0.01,0.9790490708868858,0.001185630867546369
Computers,Degree_Adaptive,2.0,0.05,0.9852287781605005,0.0018156166352926329
Computers,Degree_Adaptive,2.0,0.1,0.9856233771646817,0.0017791024072465879
Computers,Ours,0.8,0.01,-0.01087132792243026,0.032799983954906194
Computers,Ours,0.8,0.05,-0.009459576452260336,0.03685959411165252
Computers,Ours,0.8,0.1,-0.012618341691327839,0.040205879578368665
Computers,Ours,0.9,0.01,-0.0008282703703641981,0.055151464625056046
Computers,Ours,0.9,0.05,0.006142350683056626,0.05008248215959795
Computers,Ours,0.9,0.1,0.03991801582450553,0.06060010573967502
Computers,Ours,1.0,0.01,0.04002582227449884,0.1133241157571642
Computers,Ours,1.0,0.05,0.0689080558512997,0.07378386877398754
Computers,Ours,1.0,0.1,0.17930579671794117,0.049306505136703226
Computers,Ours,1.1,0.01,0.08725250030796428,0.025792217630230513
Computers,Ours,1.1,0.05,0.2095993673197884,0.05644237785260868
Computers,Ours,1.1,0.1,0.34197991801601135,0.0668850039283745
Computers,Ours,1.2,0.01,0.005096141904289425,0.10475184273309764
Computers,Ours,1.2,0.05,0.21390900398578783,0.040752852314283786
Computers,Ours,1.2,0.1,0.43406253327909283,0.05954224847607797
Computers,Ours,1.5,0.01,0.08868346622574082,0.046353358500036294
Computers,Ours,1.5,0.05,0.26996309476039737,0.03931976803583784
Computers,Ours,1.5,0.1,0.4959378314651525,0.031875301802213936
Computers,Ours,2.0,0.01,0.0313932951402965,0.023518216385466122
Computers,Ours,2.0,0.05,0.1953229581162916,0.028255272006725368
Computers,Ours,2.0,0.1,0.3783141059266311,0.03453212496408219
Computers,Ours_Adaptive,0.8,0.01,-0.006556834937169705,0.027931960228192138
Computers,Ours_Adaptive,0.8,0.05,-0.018669723152507946,0.025692492174514026
Computers,Ours_Adaptive,0.8,0.1,-0.009678298750895308,0.03459102648889271
Computers,Ours_Adaptive,0.9,0.01,0.00630491390636536,0.04980223891601472
Computers,Ours_Adaptive,0.9,0.05,0.03911205332372995,0.051452121400483636
Computers,Ours_Adaptive,0.9,0.1,0.06406465750325667,0.04649395711435582
Computers,Ours_Adaptive,1.0,0.01,0.03021396333243361,0.06684265139757106
Computers,Ours_Adaptive,1.0,0.05,0.1046458325344161,0.0737717858449917
Computers,Ours_Adaptive,1.0,0.1,0.17574278639727284,0.06208422456544087
Computers,Ours_Adaptive,1.1,0.01,0.05311348475334197,0.037320938384541466
Computers,Ours_Adaptive,1.1,0.05,0.2190053684133591,0.03802125901670427
Computers,Ours_Adaptive,1.1,0.1,0.3296955732800707,0.03967313968836914
Computers,Ours_Adaptive,1.2,0.01,0.018344907953585524,0.0819321847539084
Computers,Ours_Adaptive,1.2,0.05,0.1954444748235062,0.04993647405594596
Computers,Ours_Adaptive,1.2,0.1,0.416946122978992,0.07160113773266884
Computers,Ours_Adaptive,1.5,0.01,0.046622634828282786,0.05370921945768087
Computers,Ours_Adaptive,1.5,0.05,0.2850849959356443,0.02570254055229635
Computers,Ours_Adaptive,1.5,0.1,0.5027072900476888,0.05677285148473752
Computers,Ours_Adaptive,2.0,0.01,0.023646593583874324,0.03415723653633565
Computers,Ours_Adaptive,2.0,0.05,0.15971287767813258,0.044767989274777514
Computers,Ours_Adaptive,2.0,0.1,0.3542108965677631,0.03203536884027244
Computers,PageRank,0.8,0.01,0.24007239106135722,0.03500541494489049
Computers,PageRank,0.8,0.05,0.25494353969816685,0.045181109199623044
Computers,PageRank,0.8,0.1,0.2397456818235563,0.04476245480631693
Computers,PageRank,0.9,0.01,0.3472109620830188,0.03989116910589448
Computers,PageRank,0.9,0.05,0.3692378913890146,0.052941724421940756
Computers,PageRank,0.9,0.1,0.357522593552408,0.056342110983974285
Computers,PageRank,1.0,0.01,0.49898674002915044,0.04356362366109708
Computers,PageRank,1.0,0.05,0.520544190034627,0.04530691471270046
Computers,PageRank,1.0,0.1,0.514369994551865,0.048788236441822855
Computers,PageRank,1.1,0.01,0.6623095660321139,0.033561064689463314
Computers,PageRank,1.1,0.05,0.6848700108549197,0.037888750124564094
Computers,PageRank,1.1,0.1,0.6821127567971301,0.03915161130655397
Computers,PageRank,1.2,0.01,0.7742339127865498,0.027665891365443247
Computers,PageRank,1.2,0.05,0.7930954866837705,0.03210948565046606
Computers,PageRank,1.2,0.1,0.7929645517174333,0.03315666170946639
Computers,PageRank,1.5,0.01,0.9401220885288003,0.007142730389372116
Computers,PageRank,1.5,0.05,0.9504614324572851,0.0076582854839353
Computers,PageRank,1.5,0.1,0.9513085922053545,0.008214216271349165
Computers,PageRank,2.0,0.01,0.9728008264769189,0.0007595030814226164
Computers,PageRank,2.0,0.05,0.9849924831605603,0.0017720068972564363
Computers,PageRank,2.0,0.1,0.9858147811178595,0.0019382605297521918
Computers,PageRank_Adaptive,0.8,0.01,0.24059581202213226,0.034720397306937864
Computers,PageRank_Adaptive,0.8,0.05,0.25632751456654174,0.04305048327129717
Computers,PageRank_Adaptive,0.8,0.1,0.24032569353656336,0.04417704244598662
Computers,PageRank_Adaptive,0.9,0.01,0.3494523920514617,0.03913669984254933
Computers,PageRank_Adaptive,0.9,0.05,0.3671501565990403,0.05404572245429196
Computers,PageRank_Adaptive,0.9,0.1,0.35766011867238545,0.05552977929630523
Computers,PageRank_Adaptive,1.0,0.01,0.49439817272770803,0.03980409795034948
Computers,PageRank_Adaptive,1.0,0.05,0.5202417666605413,0.04663297124956127
Computers,PageRank_Adaptive,1.0,0.1,0.5154317231994806,0.04832831788157759
Computers,PageRank_Adaptive,1.1,0.01,0.6640395093774346,0.03235309017414068
Computers,PageRank_Adaptive,1.1,0.05,0.6841321185907753,0.03764566105053535
Computers,PageRank_Adaptive,1.1,0.1,0.6821704600922266,0.040167837931347226
Computers,PageRank_Adaptive,1.2,0.01,0.7762330964729749,0.027473066090306652
Computers,PageRank_Adaptive,1.2,0.05,0.7931594769217052,0.030788843672901942
Computers,PageRank_Adaptive,1.2,0.1,0.793366997562128,0.03196232152768966
Computers,PageRank_Adaptive,1.5,0.01,0.941306529871385,0.005803274322014385
Computers,PageRank_Adaptive,1.5,0.05,0.9501958878481519,0.00790575559606298
Computers,PageRank_Adaptive,1.5,0.1,0.9514070840243496,0.008013058553415775
Computers,PageRank_Adaptive,2.0,0.01,0.9737992761267936,0.0014883632290019764
Computers,PageRank_Adaptive,2.0,0.05,0.9849850827385416,0.0017631184958923302
Computers,PageRank_Adaptive,2.0,0.1,0.9858553867120232,0.001817687945283481
Cora,Betweenness,0.8,0.01,0.23441732930593143,0.058088527119401843
Cora,Betweenness,0.8,0.05,0.25632939367732793,0.06625528949729549
Cora,Betweenness,0.8,0.1,0.25840774046769804,0.07003490418709916
Cora,Betweenness,0.9,0.01,0.2937922525486518,0.05294275961268037
Cora,Betweenness,0.9,0.05,0.31989534195228586,0.06204402605958966
Cora,Betweenness,0.9,0.1,0.327949554531064,0.06217488373010689
Cora,Betweenness,1.0,0.01,0.34749337544062275,0.05118242717927938
Cora,Betweenness,1.0,0.05,0.3900797833067867,0.05939880877963073
Cora,Betweenness,1.0,0.1,0.40311359263832564,0.06891267097693698
Cora,Betweenness,1.1,0.01,0.4205560234132504,0.049467084008732766
Cora,Betweenness,1.1,0.05,0.46767921974308635,0.05268183587458267
Cora,Betweenness,1.1,0.1,0.47903003935397404,0.0536237635777342
Cora,Betweenness,1.2,0.01,0.4892715792826617,0.04175532357311769
Cora,Betweenness,1.2,0.05,0.5425965563678201,0.04943720390269638
Cora,Betweenness,1.2,0.1,0.5633187082026745,0.05142167426849354
Cora,Betweenness,1.5,0.01,0.6859274745725938,0.026281008276120173
Cora,Betweenness,1.5,0.05,0.7410038428097543,0.027883093412019357
Cora,Betweenness,1.5,0.1,0.7625887774801628,0.03103100442628165
Cora,Betweenness,2.0,0.01,0.8872993585306836,0.006892289314391931
Cora,Betweenness,2.0,0.05,0.9286916571959928,0.007861563443921965
Cora,Betweenness,2.0,0.1,0.9401144443910591,0.007391080445720311
Cora,Betweenness_Adaptive,0.8,0.01,0.2393917738882494,0.05401553392789312
Cora,Betweenness_Adaptive,0.8,0.05,0.25675733741576356,0.0662815546823513
Cora,Betweenness_Adaptive,0.8,0.1,0.2571257133858206,0.06776302059710784
Cora,Betweenness_Adaptive,0.9,0.01,0.2892958520184265,0.04832689313892076
Cora,Betweenness_Adaptive,0.9,0.05,0.3204190007372453,0.059232875912331104
Cora,Betweenness_Adaptive,0.9,0.1,0.33149589030247195,0.06791290951460788
Cora,Betweenness_Adaptive,1.0,0.01,0.35459888820193913,0.057218479429993176
Cora,Betweenness_Adaptive,1.0,0.05,0.39417308413257457,0.06129606525077733
Cora,Betweenness_Adaptive,1.0,0.1,0.4026241018930081,0.06754203186902696
Cora,Betweenness_Adaptive,1.1,0.01,0.418255020738045,0.04732576540922108
Cora,Betweenness_Adaptive,1.1,0.05,0.46592263439881004,0.04853591873944576
Cora,Betweenness_Adaptive,1.1,0.1,0.4827653488081002,0.056004812852287846
Cora,Betweenness_Adaptive,1.2,0.01,0.4948012932365966,0.042540357418225594
Cora,Betweenness_Adaptive,1.2,0.05,0.5416000791707312,0.047653364232194254
Cora,Betweenness_Adaptive,1.2,0.1,0.5634423788386381,0.0539173563319024
Cora,Betweenness_Adaptive,1.5,0.01,0.6822335133816653,0.024562638577729595
Cora,Betweenness_Adaptive,1.5,0.05,0.7409929947070771,0.029494087263968648
Cora,Betweenness_Adaptive,1.5,0.1,0.7607709322136774,0.03170168082591045
Cora,Betweenness_Adaptive,2.0,0.01,0.8887887966169388,0.005260567059374261
Cora,Betweenness_Adaptive,2.0,0.05,0.9286272936507783,0.008858451786216547
Cora,Betweenness_Adaptive,2.0,0.1,0.9399746588017421,0.008020569145555604
Cora,Degree,0.8,0.01,0.25151907574034815,0.06856971216537419
Cora,Degree,0.8,0.05,0.30009850337041233,0.061814435309329466
Cora,Degree,0.8,0.1,0.30118497491830454,0.06285292821183994
Cora,Degree,0.9,0.01,0.30457245582150577,0.061593636634299086
Cora,Degree,0.9,0.05,0.36773002900931245,0.05706406121955971
Cora,Degree,0.9,0.1,0.3735266871256914,0.059441036023635194
Cora,Degree,1.0,0.01,0.37797586250263004,0.05967277208076527
Cora,Degree,1.0,0.05,0.43592063704102263,0.05776338053850141
Cora,Degree,1.0,0.1,0.4485459704365187,0.0562420074850476
Cora,Degree,1.1,0.01,0.44043434804961945,0.04987036439921125
Cora,Degree,1.1,0.05,0.510270780110307,0.05059944854022625
Cora,Degree,1.1,0.1,0.5254806634777787,0.054271983603584796
Cora,Degree,1.2,0.01,0.5199642345177423,0.050307141274377964
Cora,Degree,1.2,0.05,0.5902116039860346,0.04626936688623944
Cora,Degree,1.2,0.1,0.6042267902200967,0.050650844950549605
Cora,Degree,1.5,0.01,0.7108913024778838,0.029564940831291964
Cora,Degree,1.5,0.05,0.777737289882775,0.027021466416163563
Cora,Degree,1.5,0.1,0.7942263193085104,0.028476308744214907
Cora,Degree,2.0,0.01,0.9096715423441519,0.007261619939254692
Cora,Degree,2.0,0.05,0.9452651333847791,0.006399571045938153
Cora,Degree,2.0,0.1,0.9519143524817109,0.0072578453233536
Cora,Degree_Adaptive,0.8,0.01,0.2451406980776496,0.06548300089532297
Cora,Degree_Adaptive,0.8,0.05,0.2994210421462541,0.06000275294969475
Cora,Degree_Adaptive,0.8,0.1,0.2996289857477825,0.06509075436013922
Cora,Degree_Adaptive,0.9,0.01,0.3122983980352765,0.05959853590456837
Cora,Degree_Adaptive,0.9,0.05,0.3678595390904519,0.05863017484047336
Cora,Degree_Adaptive,0.9,0.1,0.37512838435395124,0.06183043698058228
Cora,Degree_Adaptive,1.0,0.01,0.3760940406662886,0.06131990150058663
Cora,Degree_Adaptive,1.0,0.05,0.4363175794730438,0.056743536642728735
Cora,Degree_Adaptive,1.0,0.1,0.4496945405269874,0.05772342119437853
Cora,Degree_Adaptive,1.1,0.01,0.44360843852774484,0.05360824406826182
Cora,Degree_Adaptive,1.1,0.05,0.5127736513369009,0.04888520480438782
Cora,Degree_Adaptive,1.1,0.1,0.524211242869424,0.05482585148532618
Cora,Degree_Adaptive,1.2,0.01,0.5135917789446753,0.051901194655390705
Cora,Degree_Adaptive,1.2,0.05,0.5878895085287011,0.04494640331589675
Cora,Degree_Adaptive,1.2,0.1,0.6033395847741543,0.05183288477294502
Cora,Degree_Adaptive,1.5,0.01,0.7125270450748452,0.029666602588649928
Cora,Degree_Adaptive,1.5,0.05,0.7776358771904588,0.027285397237789166
Cora,Degree_Adaptive,1.5,0.1,0.7935053079676229,0.027674445959286087
Cora,Degree_Adaptive,2.0,0.01,0.9081587990534254,0.0082183056344034
Cora,Degree_Adaptive,2.0,0.05,0.9452168001961099,0.006717445320908085
Cora,Degree_Adaptive,2.0,0.1,0.9522747024118505,0.006949130745484985
Cora,Ours,0.8,0.01,0.016300608197358242,0.013463056765854266
Cora,Ours,0.8,0.05,0.016137363407672096,0.026677733641666035
Cora,Ours,0.8,0.1,0.007766360998320623,0.022282406060202375
Cora,Ours,0.9,0.01,-0.005829800639010191,0.010115465645811726
Cora,Ours,0.9,0.05,0.043348205997566794,0.025832016238892877
Cora,Ours,0.9,0.1,0.037300958498742195,0.020242377738815966
Cora,Ours,1.0,0.01,0.015578898185014655,0.03716380303436374
Cora,Ours,1.0,0.05,0.05278219787068934,0.06678349293102809
Cora,Ours,1.0,0.1,0.059073562442627695,0.058323125560853506
Cora,Ours,1.1,0.01,0.01599580669432947,0.03088965521040631
Cora,Ours,1.1,0.05,0.07786225845836482,0.05672178999149555
Cora,Ours,1.1,0.1,0.09118267845973857,0.06564476826869757
Cora,Ours,1.2,0.01,0.04091569309174213,0.028791706876282762
Cora,Ours,1.2,0.05,0.118039595859081,0.07817429863645686
Cora,Ours,1.2,0.1,0.14093910458093276,0.09262906812017058
Cora,Ours,1.5,0.01,-0.0008033010417170187,0.030349109535396872
Cora,Ours,1.5,0.05,0.17806811702628028,0.08177116252342727
Cora,Ours,1.5,0.1,0.2648254252477404,0.10636812473047356
Cora,Ours,2.0,0.01,0.049042221081161026,0.029796095756333477
Cora,Ours,2.0,0.05,0.2936844722206896,0.12050331433179738
Cora,Ours,2.0,0.1,0.4534304398393133,0.10579749020553693
Cora,Ours_Adaptive,0.8,0.01,0.014990166478916257,0.019453973818740134
Cora,Ours_Adaptive,0.8,0.05,0.023181993997624013,0.029461802097319016
Cora,Ours_Adaptive,0.8,0.1,0.004825047579456772,0.0407335872521216
Cora,Ours_Adaptive,0.9,0.01,0.02356463269180334,0.017816701746778792
Cora,Ours_Adaptive,0.9,0.05,0.04589757217676202,0.04869619952551343
Cora,Ours_Adaptive,0.9,0.1,0.03363316565863818,0.037753079509782156
Cora,Ours_Adaptive,1.0,0.01,0.012997733238050157,0.023057215803956914
Cora,Ours_Adaptive,1.0,0.05,0.061009108529309894,0.047191853896524444
Cora,Ours_Adaptive,1.0,0.1,0.06408042184457662,0.06309405594091418
Cora,Ours_Adaptive,1.1,0.01,0.014747368066244926,0.03341070266058412
Cora,Ours_Adaptive,1.1,0.05,0.07516137754317312,0.04801938634226043
Cora,Ours_Adaptive,1.1,0.1,0.1022114355448747,0.0486752475712801
Cora,Ours_Adaptive,1.2,0.01,0.0032239676188560154,0.042708157241909316
Cora,Ours_Adaptive,1.2,0.05,0.10696082245058207,0.08165204799641672
Cora,Ours_Adaptive,1.2,0.1,0.14747159878997157,0.07880492135814517
Cora,Ours_Adaptive,1.5,0.01,-0.0259207046706808,0.03856112244585765
Cora,Ours_Adaptive,1.5,0.05,0.1746170595675276,0.07978178759298937
Cora,Ours_Adaptive,1.5,0.1,0.25046703850442226,0.09642857938695017
Cora,Ours_Adaptive,2.0,0.01,0.06808497611302611,0.049711976258240455
Cora,Ours_Adaptive,2.0,0.05,0.3178702715617164,0.11241279530000216
Cora,Ours_Adaptive,2.0,0.1,0.4536306062887734,0.10522167050460282
Cora,PageRank,0.8,0.01,0.2498061323237987,0.06305906710003086
Cora,PageRank,0.8,0.05,0.30158040096213223,0.06061261358917343
Cora,PageRank,0.8,0.1,0.2993086167283156,0.06526759747258469
Cora,PageRank,0.9,0.01,0.31142035441060856,0.05916969527324889
Cora,PageRank,0.9,0.05,0.36599084177901664,0.05629490525127464
Cora,PageRank,0.9,0.1,0.3744839843834601,0.06470704789193243
Cora,PageRank,1.0,0.01,0.3703648349403152,0.06174709285775059
Cora,PageRank,1.0,0.05,0.437161937243864,0.054564282276721325
Cora,PageRank,1.0,0.1,0.4491907480015784,0.058664753674147356
Cora,PageRank,1.1,0.01,0.44222764349214366,0.05555322592579811
Cora,PageRank,1.1,0.05,0.5099773021911405,0.049657099450335
Cora,PageRank,1.1,0.1,0.5251214487638721,0.05639214801582932
Cora,PageRank,1.2,0.01,0.5143077970246058,0.04777970884474593
Cora,PageRank,1.2,0.05,0.5881392444945861,0.04677761442161432
Cora,PageRank,1.2,0.1,0.6019883007559061,0.05169519151661755
Cora,PageRank,1.5,0.01,0.7115036270141182,0.03175520391883845
Cora,PageRank,1.5,0.05,0.7771916462206354,0.02416072926396612
Cora,PageRank,1.5,0.1,0.792487853846948,0.029039053370473352
Cora,PageRank,2.0,0.01,0.9100637592579783,0.008242329965944949
Cora,PageRank,2.0,0.05,0.9450118660196754,0.006082320240675496
Cora,PageRank,2.0,0.1,0.9522526980506514,0.006710228084594153
Cora,PageRank_Adaptive,0.8,0.01,0.25040693321256624,0.05883076104387713
Cora,PageRank_Adaptive,0.8,0.05,0.2978280000536124,0.05879086076271744
Cora,PageRank_Adaptive,0.8,0.1,0.3018252291412488,0.06546411876095731
Cora,PageRank_Adaptive,0.9,0.01,0.3099298061276327,0.06241755721057253
Cora,PageRank_Adaptive,0.9,0.05,0.36846705266499996,0.05304528436953633
Cora,PageRank_Adaptive,0.9,0.1,0.3723715750646227,0.06080930908673139
Cora,PageRank_Adaptive,1.0,0.01,0.3707257932915629,0.0633068907026781
Cora,PageRank_Adaptive,1.0,0.05,0.43817411692794295,0.05464293047558886
Cora,PageRank_Adaptive,1.0,0.1,0.44755546828283077,0.05798884565575104
Cora,PageRank_Adaptive,1.1,0.01,0.446121166605134,0.052152233562805184
Cora,PageRank_Adaptive,1.1,0.05,0.5100870835015647,0.04916753729584398
Cora,PageRank_Adaptive,1.1,0.1,0.5244471065727374,0.05757114914049147
Cora,PageRank_Adaptive,1.2,0.01,0.5165753045061667,0.05139792008529369
Cora,PageRank_Adaptive,1.2,0.05,0.5878484178437249,0.045682188115012165
Cora,PageRank_Adaptive,1.2,0.1,0.6027267337636278,0.051130652462144384
Cora,PageRank_Adaptive,1.5,0.01,0.7146622355444514,0.029826573932900398
Cora,PageRank_Adaptive,1.5,0.05,0.777568501770806,0.02473225271892245
Cora,PageRank_Adaptive,1.5,0.1,0.7928554993534542,0.0290914288817007
Cora,PageRank_Adaptive,2.0,0.01,0.9099290974302704,0.009040379459218428
Cora,PageRank_Adaptive,2.0,0.05,0.9447076801974463,0.006111478845506511
Cora,PageRank_Adaptive,2.0,0.1,0.9521687526681151,0.006896372398693684
Photo,Betweenness,0.8,0.01,0.31963397910913793,0.045178073636056755
Photo,Betweenness,0.8,0.05,0.42166059895227725,0.0473124151913883
Photo,Betweenness,0.8,0.1,0.4275825803570615,0.04456580232284621
Photo,Betweenness,0.9,0.01,0.4660825360622679,0.055684609377598705
Photo,Betweenness,0.9,0.05,0.5897044038358051,0.048813746619570976
Photo,Betweenness,0.9,0.1,0.6019173542534368,0.050362843659742244
Photo,Betweenness,1.0,0.01,0.6104891468759337,0.02063885138995888
Photo,Betweenness,1.0,0.05,0.7414864118982527,0.029179439842438197
Photo,Betweenness,1.0,0.1,0.7547555025079513,0.030736001532365873
Photo,Betweenness,1.1,0.01,0.7020905791381085,0.029496128344211253
Photo,Betweenness,1.1,0.05,0.842582241866268,0.022571303881156714
Photo,Betweenness,1.1,0.1,0.8556966434150699,0.020690722867082463
Photo,Betweenness,1.2,0.01,0.7129151210195046,0.019394208423327747
Photo,Betweenness,1.2,0.05,0.8886481072957336,0.012905203412202375
Photo,Betweenness,1.2,0.1,0.9043562800561622,0.010653333326135899
Photo,Betweenness,1.5,0.01,0.6287103680238691,0.018165572811666225
Photo,Betweenness,1.5,0.05,0.9315031741873463,0.006844097528872398
Photo,Betweenness,1.5,0.1,0.9558046158851157,0.005543557464713877
Photo,Betweenness,2.0,0.01,0.47875593883578216,0.01212254604889912
Photo,Betweenness,2.0,0.05,0.8848502820370199,0.009005437458876407
Photo,Betweenness,2.0,0.1,0.9620887055006548,0.003314511361130557
Photo,Betweenness_Adaptive,0.8,0.01,0.32063067413508134,0.042272258802582195
Photo,Betweenness_Adaptive,0.8,0.05,0.4225994383280308,0.04674237067977371
Photo,Betweenness_Adaptive,0.8,0.1,0.42441778412672004,0.0420641158931437
Photo,Betweenness_Adaptive,0.9,0.01,0.4614844801481327,0.04078751539085233
Photo,Betweenness_Adaptive,0.9,0.05,0.5903271504056582,0.048739182575994786
Photo,Betweenness_Adaptive,0.9,0.1,0.5990796402957292,0.046807304178273355
Photo,Betweenness_Adaptive,1.0,0.01,0.6036607804724218,0.02823152766919062
Photo,Betweenness_Adaptive,1.0,0.05,0.7402744715677793,0.02957947681840993
Photo,Betweenness_Adaptive,1.0,0.1,0.7534495589612856,0.02672518514539816
Photo,Betweenness_Adaptive,1.1,0.01,0.6951291564118005,0.02657213230974195
Photo,Betweenness_Adaptive,1.1,0.05,0.8440506135868565,0.02052999146202435
Photo,Betweenness_Adaptive,1.1,0.1,0.8557907920542185,0.019906233154236733
Photo,Betweenness_Adaptive,1.2,0.01,0.7111897801934075,0.015273583385866579
Photo,Betweenness_Adaptive,1.2,0.05,0.8901181915764479,0.011152682095775544
Photo,Betweenness_Adaptive,1.2,0.1,0.9046704849812889,0.009874801060901843
Photo,Betweenness_Adaptive,1.5,0.01,0.6246783408759682,0.016647343160664345
Photo,Betweenness_Adaptive,1.5,0.05,0.9305741001197404,0.006800190579604687
Photo,Betweenness_Adaptive,1.5,0.1,0.9567061851134081,0.005217789898832851
Photo,Betweenness_Adaptive,2.0,0.01,0.4822110896694003,0.012076987600806922
Photo,Betweenness_Adaptive,2.0,0.05,0.8853378184077165,0.008206724883380525
Photo,Betweenness_Adaptive,2.0,0.1,0.962135928950343,0.0023994428631674888
Photo,Degree,0.8,0.01,0.4427626940165005,0.047771832983814
Photo,Degree,0.8,0.05,0.4758402686573079,0.04527754004223912
Photo,Degree,0.8,0.1,0.47031156921095796,0.04998608452103383
Photo,Degree,0.9,0.01,0.6040456753659058,0.048340633235707656
Photo,Degree,0.9,0.05,0.6397761519702158,0.048181341302209295
Photo,Degree,0.9,0.1,0.638284653106726,0.0490987784675255
Photo,Degree,1.0,0.01,0.7502057539008389,0.032540975519887175
Photo,Degree,1.0,0.05,0.7821046739499857,0.03223556643313009
Photo,Degree,1.0,0.1,0.7828023208830501,0.030466537975305887
Photo,Degree,1.1,0.01,0.8492818495440533,0.02355598641058441
Photo,Degree,1.1,0.05,0.873975746421333,0.02101331982442578
Photo,Degree,1.1,0.1,0.8746751619684527,0.021531877807894353
Photo,Degree,1.2,0.01,0.8991523461063446,0.01323829007749574
Photo,Degree,1.2,0.05,0.9188222033729254,0.01162250430900061
Photo,Degree,1.2,0.1,0.9205035933929103,0.012311480112236633
Photo,Degree,1.5,0.01,0.9490656384713549,0.00863990187299899
