dataset,seed,method,beta_scale,ratio,Delta_I
Cora,1,Ours_Adaptive,0.8,0.1,-0.053435667074136814
Cora,1,PageRank,0.8,0.1,0.2590710684932727
Cora,1,PageRank_Adaptive,0.8,0.1,0.2649507512369702
Cora,1,Degree,0.8,0.1,0.26106237869308674
Cora,1,Degree_Adaptive,0.8,0.1,0.25905463996795935
Cora,1,Betweenness,0.8,0.1,0.18010482935871822
Cora,1,Betweenness_Adaptive,0.8,0.1,0.19087078691002174
Cora,2,Ours,0.8,0.1,-0.002091118291256859
Cora,2,Ours_Adaptive,0.8,0.1,0.01267781420385018
Cora,2,PageRank,0.8,0.1,0.25904824188538655
Cora,2,PageRank_Adaptive,0.8,0.1,0.26345977046287256
Cora,2,Degree,0.8,0.1,0.2596226596689135
Cora,2,Degree_Adaptive,0.8,0.1,0.2528097166242956
Cora,2,Betweenness,0.8,0.1,0.23917946932111894
Cora,2,Betweenness_Adaptive,0.8,0.1,0.2317130710543618
Cora,3,Ours,0.8,0.1,0.031188911970413576
Cora,3,Ours_Adaptive,0.8,0.1,0.030908588287074726
Cora,3,PageRank,0.8,0.1,0.4085933589109636
Cora,3,PageRank_Adaptive,0.8,0.1,0.41260198758270994
Cora,3,Degree,0.8,0.1,0.4045494181473239
Cora,3,Degree_Adaptive,0.8,0.1,0.40876144446837664
Cora,3,Betweenness,0.8,0.1,0.3680133177528277
Cora,3,Betweenness_Adaptive,0.8,0.1,0.3682534067427934
Cora,4,Ours,0.8,0.1,-0.005546782827552653
Cora,4,Ours_Adaptive,0.8,0.1,-0.016214662970239203
Cora,4,PageRank,0.8,0.1,0.25806391579267257
Cora,4,PageRank_Adaptive,0.8,0.1,0.2575271671062481
Cora,4,Degree,0.8,0.1,0.26254678831366607
Cora,4,Degree_Adaptive,0.8,0.1,0.2668196287399718
Cora,4,Betweenness,0.8,0.1,0.22965269931750262
Cora,4,Betweenness_Adaptive,0.8,0.1,0.22748236767239496
Cora,0,Ours,0.9,0.01,-0.004342799756652178
Cora,0,Ours_Adaptive,0.9,0.01,0.03755434341118864
Cora,0,PageRank,0.9,0.01,0.33092673178931264
Cora,0,PageRank_Adaptive,0.9,0.01,0.33323638687023
Cora,0,Degree,0.9,0.01,0.3145743738164177
Cora,0,Degree_Adaptive,0.9,0.01,0.3303724145698925
Cora,0,Betweenness,0.9,0.01,0.2961895193723155
Cora,0,Betweenness_Adaptive,0.9,0.01,0.2725386513437217
Cora,1,Ours,0.9,0.01,-0.012493188277048133
Cora,1,Ours_Adaptive,0.9,0.01,0.00842226647010078
Cora,1,PageRank,0.9,0.01,0.26461284252429246
Cora,1,PageRank_Adaptive,0.9,0.01,0.2511587489162893
Cora,1,Degree,0.9,0.01,0.2509086728269212
Cora,1,Degree_Adaptive,0.9,0.01,0.25235911414525636
Cora,1,Betweenness,0.9,0.01,0.24334222920981874
Cora,1,Betweenness_Adaptive,0.9,0.01,0.25708378401953985
Cora,2,Ours,0.9,0.01,0.006143915319361832
Cora,2,Ours_Adaptive,0.9,0.01,0.04611395004676203
Cora,2,PageRank,0.9,0.01,0.2888577398172565
Cora,2,PageRank_Adaptive,0.9,0.01,0.29516744246430093
Cora,2,Degree,0.9,0.01,0.28991776986195994
Cora,2,Degree_Adaptive,0.9,0.01,0.2938045466925394
Cora,2,Betweenness,0.9,0.01,0.2886053517113748
Cora,2,Betweenness_Adaptive,0.9,0.01,0.2859805154102042
Cora,3,Ours,0.9,0.01,-0.019133185289172367
Cora,3,Ours_Adaptive,0.9,0.01,0.005539777987535228
Cora,3,PageRank,0.9,0.01,0.40592413820971757
Cora,3,PageRank_Adaptive,0.9,0.01,0.40613217331323115
Cora,3,Degree,0.9,0.01,0.405424853961285
Cora,3,Degree_Adaptive,0.9,0.01,0.40621538735463647
Cora,3,Betweenness,0.9,0.01,0.38048144505001014
Cora,3,Betweenness_Adaptive,0.9,0.01,0.3730823298683781
