,SP,KD,Top10,Top20
Degree,0.7562998292031196,0.579816331421906,0.8,0.6
PR,0.38799425586972464,0.26660491991638846,0.5,0.4
K-shell,0.8404287743416512,0.6871940604739368,0.0,0.05
MLP,0.7935850812292523,0.6098798541799995,0.3,0.4
GCN,0.8440978909330283,0.6767375278393485,0.8,0.7
SAGE,0.7987966742719365,0.6171223602677038,0.2,0.35
GAT,0.8379118502549632,0.6483149965992988,0.0,0.0
Ours,0.9465264810898424,0.8098357251219284,0.3,0.3
