epoch,loss,rank,reg,topk,spearman,kendall,top5,top10,top20
1,0.9442851543426514,0.37518763542175293,0.5584152936935425,0.26771530508995056,0.7063104730477433,0.5140059220499663,0.0,0.0,0.0
2,0.6343654990196228,0.16688507795333862,1.239849328994751,0.06368374824523926,0.6917310923283149,0.5002060898087138,0.0,0.0,0.1
3,0.3340590000152588,0.1545819789171219,0.31447723507881165,0.05675589293241501,0.7048462258354491,0.5117733175844696,0.2,0.1,0.3
4,0.2897450923919678,0.14181074500083923,0.2760326862335205,0.043416351079940796,0.8042247174420775,0.6067639732090692,0.2,0.2,0.3
5,0.2301369309425354,0.12087441980838776,0.23413118720054626,0.02601543813943863,0.842380051233832,0.6504067836220749,0.2,0.2,0.35
6,0.20668557286262512,0.10675366222858429,0.24350588023662567,0.017920101061463356,0.8672560765420334,0.6805814873447164,0.4,0.2,0.3
7,0.19741381704807281,0.09758013486862183,0.2546559274196625,0.015624603256583214,0.878599616198312,0.6947586423198365,0.2,0.2,0.3
8,0.18492989242076874,0.09529883414506912,0.23223976790905,0.013306083157658577,0.8777169590699725,0.6934535844191182,0.2,0.2,0.3
9,0.17563912272453308,0.09658417105674744,0.20161627233028412,0.012380043976008892,0.8734901788895291,0.6869349183418442,0.2,0.2,0.3
10,0.17466042935848236,0.10117757320404053,0.18719714879989624,0.011549146845936775,0.8793629168152265,0.6945752528917161,0.4,0.2,0.3
11,0.1710718423128128,0.10068399459123611,0.18253935873508453,0.010417364537715912,0.8883583348582041,0.7076930611280251,0.2,0.2,0.3
12,0.16818027198314667,0.0995669811964035,0.18309059739112854,0.00912406761199236,0.8941009628270021,0.7164120873273003,0.2,0.2,0.3
13,0.16383673250675201,0.09496142715215683,0.18887008726596832,0.008142853155732155,0.8966236760510083,0.7204051775063062,0.2,0.2,0.3
14,0.16139012575149536,0.09001191705465317,0.1971844732761383,0.008148571476340294,0.8970070097226577,0.7211787235531104,0.2,0.2,0.3
15,0.16200414299964905,0.08984225243330002,0.1995430439710617,0.008199319243431091,0.8965091332387805,0.7203371091168184,0.2,0.2,0.25
16,0.15929652750492096,0.08994626998901367,0.1956453174352646,0.007104441057890654,0.8960904157294328,0.7196663563038995,0.2,0.2,0.25
17,0.15654800832271576,0.08953250199556351,0.18917076289653778,0.006842853967100382,0.8962720745771616,0.7197306616829998,0.2,0.2,0.25
