,SP_mean,SP_std,KD_mean,KD_std
L0_MLP,0.7704565045362628,0.012299475911915684,0.5889437425367751,0.010805340931098225
L1_1Layer_GNN,0.7643913040656418,0.021661047936762254,0.5848544819864983,0.019764658112214162
L2_2Layer_GNN,0.7935523860865747,0.034656961662174565,0.6105017020747878,0.03429548277692337
L3_GNN_Rank,0.8527561307272172,0.007559061269006986,0.6812574207992677,0.007421266864192617
L4_MultiBeta,0.8558081086754467,0.008150621098569434,0.6861381120669808,0.008392516324174848
L5_Full,0.8551966783071178,0.008500561876376234,0.6848404818568559,0.008757975700050654
