,SP,KD,Top10,Top20
Degree,0.6892360613802483,0.5148637656002034,0.9,0.75
PR,0.4521600169062902,0.317767260070145,0.8,0.5
K-shell,0.7477230421334905,0.5816055782050544,0.1,0.2
MLP,0.6272601613611211,0.4573946594397209,0.0,0.05
GCN,0.7652433034187154,0.5815167321202025,0.9,0.8
SAGE,0.6821039760786745,0.5047665854960833,0.3,0.45
GAT,0.7094706278798789,0.5279178355697215,0.0,0.1
Ours,0.8459844847841947,0.673604564742051,0.0,0.15
