,mean_spearman,std,num_seeds
struct_only,0.8483,0.0117,5
raw,0.7807,0.0251,5
tfidf,0.7936,0.0223,5
tfidf_svd,0.8127,0.0141,5
tfidf_svd_bridge_dim16,0.8238,0.0184,5
tfidf_svd_bridge_dim32,0.8178,0.0166,5
tfidf_svd_bridge_dim64,0.8117,0.0159,5
tfidf_svd_bridge_dim128,0.803,0.0155,5
tfidf_svd_bridge_dim256,0.7992,0.0158,5
