Method,SP,KD,Top10,Top20,SP_std,KD_std,Top10_std,Top20_std
Ours,0.8880294447679594,0.723357479835164,0.27999999999999997,0.39571428571428574,0.047877243723284085,0.06504414097373629,0.14047538337136986,0.18751507875876217
GCN,0.7539857955858585,0.5795168074872514,0.7428571428571429,0.76,0.09636214512753491,0.09342704712253332,0.0996183192179507,0.12233832869001716
GAT,0.7524945303913056,0.5674895808026311,0.20285714285714285,0.30428571428571427,0.07182485415768082,0.06498376317252247,0.16750266522399834,0.22066997551827955
K-shell,0.740547993553829,0.596322675656706,0.18,0.2914285714285714,0.07858941973029664,0.06578445669171766,0.19798989873223333,0.24272265183597044
Degree,0.6931756130824519,0.5329433199367489,0.5314285714285714,0.5085714285714286,0.0642980183862374,0.05317790842329757,0.18288690234026886,0.16180529157278006
SAGE,0.6797841672692345,0.5074085771810547,0.30571428571428566,0.40714285714285714,0.1278235392796919,0.11241237519146369,0.16277357922967134,0.20047562492850893
MLP,0.6523093351736815,0.4804280450138806,0.3028571428571429,0.41571428571428576,0.11668289159527125,0.10107529950030829,0.2089429177003682,0.24670205666330544
PR,0.3770694967609277,0.2600706416647551,0.34285714285714286,0.3228571428571429,0.1421349896062658,0.1031383533235837,0.18089723470470612,0.15521106980649346
