SP,KD,Top10,Top20,SP_std,KD_std,Top10_std,Top20_std,Dataset,Method
0.6354873836095907,0.4873618956695941,0.36,0.29,0.01263151489719711,0.01068584794442667,0.11401754250991379,0.07416198487095664,Cora,Degree
0.7217648570699176,0.5402163418957848,0.32,0.36,0.02507179213877394,0.01994222626102713,0.16431676725154984,0.0651920240520265,Cora,GAT
0.7151453764158981,0.5322454139727814,0.54,0.5,0.022235802362907446,0.016893522309215946,0.08944271909999155,0.07905694150420947,Cora,GCN
0.6451600002325016,0.5217801993571782,0.12,0.22000000000000003,0.02506287341777978,0.02415253918275734,0.13038404810405296,0.044721359549995794,Cora,K-shell
0.5064536341725263,0.3546552650312354,0.14,0.22999999999999998,0.03609206025245494,0.026703345526452933,0.08944271909999159,0.0273861278752583,Cora,MLP
0.8167942849399245,0.6291506119481084,0.3,0.39,0.017609721713890615,0.017542745082343474,0.10000000000000002,0.10839741694339401,Cora,Ours
0.33625406167518623,0.22889341625138648,0.34,0.25,0.0073663687989177565,0.0043245730678076865,0.13416407864998736,0.061237243569579436,Cora,PR
0.5188167037565545,0.3658578145253217,0.16,0.27,0.04239281770640276,0.03346907954679376,0.15165750888103102,0.04472135954999578,Cora,SAGE
0.7075714293312438,0.5651874861244471,0.44000000000000006,0.54,0.01492427346815827,0.011833170501670806,0.1341640786499874,0.07416198487095667,CiteSeer,Degree
0.6739182164938774,0.5029140041690935,0.5,0.71,0.05740854715798476,0.04709630417363267,0.15811388300841894,0.06519202405202651,CiteSeer,GAT
0.6146505427095048,0.4545120765833232,0.74,0.8800000000000001,0.03413828404681943,0.0290250840231578,0.11401754250991385,0.027386127875258317,CiteSeer,GCN
0.7093710418196392,0.5870504254934915,0.54,0.7,0.008476969513964747,0.008006892426714736,0.18165902124584946,0.06123724356957945,CiteSeer,K-shell
0.5279873446300576,0.3772847122823161,0.6,0.82,0.05695430367140305,0.04410676759871971,0.09999999999999998,0.06708203932499371,CiteSeer,MLP
0.8911486703870001,0.7173405440040443,0.45999999999999996,0.7300000000000001,0.015703322715295585,0.017772219440305933,0.11401754250991379,0.13038404810405302,CiteSeer,Ours
