,SP,KD,Top10,Top20
Degree,0.7178501784578896,0.5396183762360447,0.7,0.7
PR,0.48877269870276546,0.3439204947506855,0.5,0.6
K-shell,0.7717789725007698,0.6010788542305393,0.1,0.2
MLP,0.631883794016222,0.45938487933313027,0.0,0.1
GCN,0.7605278029614583,0.572389915694119,0.7,0.7
SAGE,0.7135977921482686,0.5328692681178372,0.4,0.35
GAT,0.7194651739326996,0.5330138381650026,0.2,0.2
Ours,0.8598658877127646,0.683464507525098,0.0,0.05
