,SP,KD,Top10,Top20
Degree,0.7889491308042612,0.6136036853486804,0.6,0.65
PR,0.5826915061491105,0.4120478740668643,0.5,0.5
K-shell,0.8329302180060206,0.6797243493304969,0.2,0.2
MLP,0.7948862232548151,0.6028278091742542,0.5,0.65
GCN,0.8757560641156781,0.7005734707601305,0.9,0.8
SAGE,0.8131088408088262,0.6246613615572015,0.6,0.65
GAT,0.8440527735799075,0.6474512018277332,0.2,0.15
Ours,0.9392724973237018,0.7876017597490781,0.4,0.55
