,SP,KD,Top10,Top20
Degree,0.6371164413580663,0.4742319440505304,0.6,0.65
PR,0.34721950584720085,0.24294862502669984,0.3,0.4
K-shell,0.7389748288703187,0.5780853955476005,0.0,0.05
MLP,0.6990680049419303,0.5189408361416258,0.3,0.35
GCN,0.8524697733961053,0.6765340907000299,0.7,0.85
SAGE,0.760574084217145,0.5745921548689125,0.0,0.1
GAT,0.7906607110995157,0.6047540239862539,0.0,0.15
Ours,0.911465419418327,0.7586371906295056,0.0,0.35
