,SP_mean,SP_std,KD_mean,KD_std
Struct_only,0.9408704854510163,0.0028674436231621346,0.7919257843356412,0.005458348578063758
Semantic_only,0.885929768330873,0.011386963737461979,0.7048218850035923,0.015243215713133456
Struct+Semantic,0.9417227116308966,0.0022449965434267975,0.7926459301284943,0.003398913224974233
