dataset,method,rank,source,target,nodes,num_nodes_in_path,score,path_length,cross_comm_ratio,avg_node_importance,avg_edge_bc,delta_E,delta_LCC,delta_ASP,fragility_score
Cora,rank_set_submodular_greedy,8,2418,1728,2418 -> 65 -> 1293 -> 1013 -> 1729 -> 1358 -> 1728,7,0.179122656583786,6.0,0.3333333333333333,0.686936150278364,0.005265752521845896,0.01184548507048494,0.00738552437223039,0.344499490325747,0.07659230184223553
Cora,rank_set_submodular_greedy,9,2045,2080,2045 -> 306 -> 655 -> 2080,4,0.03901124373078346,3.0,0.0,0.8195645272731781,0.0015519717559225694,0.0,0.0007385524372229835,0.0,0.0002954209748891934
Cora,rank_set_submodular_greedy,10,1787,341,1787 -> 306 -> 1804 -> 1546 -> 341,5,0.02368752844631672,4.0,0.25,0.8257471871376036,0.0015625635378172355,0.0014282946220447734,0.0011078286558344752,0.11335480113841001,0.0236854095388337
cora,betweenness,1,1346,68,1346 -> 306 -> 1072 -> 1358 -> 68,5,0.19972151285974415,4.0,0.5,0.82566339969635,0.0137928865485619,0.01391714466089461,0.005169867060561217,0.9604335408558091,0.19972151285974415
cora,betweenness,2,68,426,68 -> 1358 -> 1072 -> 306 -> 426,5,0.1984229684423453,4.0,0.5,0.8223799943923951,0.013870976960416656,0.011442544751000622,0.005169867060561217,0.9588900185886029,0.1984229684423453
cora,betweenness,3,1779,758,1779 -> 306 -> 1072 -> 1358 -> 758,5,0.18890983132490483,4.0,0.25,0.8244492793083191,0.010852632099131947,0.014946518759018756,0.005169867060561217,0.9043163849853642,0.18890983132490483
cora,betweenness,4,68,1762,68 -> 1986 -> 1149 -> 1358 -> 1762,5,0.18260957387802046,4.0,0.25,0.8245683574676514,0.012647112983277855,0.014250582056832245,0.009601181683899562,0.8653443419086386,0.18260957387802046
cora,betweenness,5,139,326,139 -> 306 -> 1072 -> 1358 -> 326,5,0.1751290444071443,4.0,0.25,0.8198939228057862,0.010810916506510811,0.014309708347208516,0.005169867060561217,0.836686071220182,0.1751290444071443
cora,betweenness,6,153,326,153 -> 306 -> 1072 -> 1358 -> 326,5,0.173102374556527,4.0,0.25,0.8202433562278747,0.010664282815822854,0.017378155178155275,0.005169867060561217,0.8204158283052019,0.173102374556527
cora,betweenness,7,396,1470,396 -> 1988 -> 1986 -> 68 -> 1358 -> 1072 -> 1070 -> 1470,8,0.16885238793860877,7.0,0.42857142857142855,0.7272094324231148,0.009502375902353302,0.015107111434317533,0.010709010339734037,0.7926296961449406,0.16885238793860877
cora,betweenness,8,1757,1245,1757 -> 1358 -> 1072 -> 306 -> 1245,5,0.16598266236813058,4.0,0.25,0.8223883056640625,0.010899953990816438,0.011550661144411112,0.005169867060561217,0.7964722554307082,0.16598266236813058
cora,betweenness,9,1346,1709,1346 -> 306 -> 1072 -> 1358 -> 1709,5,0.1632601461416669,4.0,0.25,0.8251880121231079,0.013764433172041695,0.011677568958819051,0.005169867060561217,0.7826058586695739,0.1632601461416669
cora,betweenness,10,1346,1568,1346 -> 306 -> 1072 -> 1358 -> 1568,5,0.16315029104062762,4.0,0.25,0.8222077322006225,0.010649271049618637,0.012677602258852089,0.005169867060561217,0.7800565165643114,0.16315029104062762
cora,node_score,1,396,1470,396 -> 1988 -> 1986 -> 68 -> 1358 -> 1072 -> 1070 -> 1470,8,0.17744699161644903,7.0,0.42857142857142855,0.7272094324231148,0.009502375902353302,0.014409939366189256,0.010709010339734037,0.8369970586703985,0.17744699161644903
cora,node_score,2,153,326,153 -> 2045 -> 341 -> 1358 -> 326,5,0.15528210662859512,4.0,0.25,0.8321907138824463,0.0017612934944670373,0.012998989205239148,0.00553914327917282,0.7393342681741517,0.15528210662859512
cora,node_score,3,308,1568,308 -> 2045 -> 341 -> 1358 -> 1568,5,0.15212203127327678,4.0,0.25,0.8322939443588258,0.0017845725345021243,0.012221497252747265,0.00553914327917282,0.7250888753025437,0.15212203127327678
cora,node_score,4,1757,236,1757 -> 1358 -> 289 -> 109 -> 236,5,0.14488108143332326,4.0,0.25,0.8280809569358827,0.005062325088374356,0.013613983932733886,0.00553914327917282,0.6860991527428029,0.14488108143332326
cora,node_score,5,1839,2413,1839 -> 979 -> 524 -> 1358 -> 59 -> 1725 -> 2413,7,0.14218861378398032,6.0,0.3333333333333333,0.6918003559112549,0.002193732618381156,0.010646061577311489,0.006277695716395804,0.677095554332487,0.14218861378398032
cora,node_score,6,68,2045,68 -> 1358 -> 341 -> 2045,4,0.14034696115413978,3.0,0.6666666666666666,0.8351397335529327,0.006384314540344549,0.009629297785547442,0.005169867060561217,0.6721364760784816,0.14034696115413978
cora,node_score,7,139,326,139 -> 2045 -> 341 -> 1358 -> 326,5,0.13796252670804313,4.0,0.25,0.8318412804603577,0.0019130599797220643,0.011211658480408587,0.00553914327917282,0.6563110300210528,0.13796252670804313
cora,node_score,8,1805,1568,1805 -> 109 -> 289 -> 1358 -> 1568,5,0.13789101376776344,4.0,0.25,0.8240560936927797,0.004923876693210592,0.013361754218004174,0.00553914327917282,0.6516532738444631,0.13789101376776344
cora,node_score,9,1757,2080,1757 -> 1358 -> 1483 -> 306 -> 2080,5,0.13544719910935601,4.0,0.25,0.8260838031768799,0.005684244746762231,0.016089930208680353,0.00553914327917282,0.6339778485710736,0.13544719910935601
cora,node_score,10,511,1550,511 -> 1810 -> 481 -> 823 -> 1358 -> 1550,6,0.13088530470020998,5.0,0.2,0.7363914450009664,0.0036376976268627493,0.01625892232767262,0.00923190546528796,0.6034448679151287,0.13088530470020998
cora,random,1,1757,1546,1757 -> 1358 -> 1550 -> 2083 -> 367 -> 2451 -> 1804 -> 1546,8,0.1419691147897992,7.0,0.0,0.7628537811338902,0.0007091583183626571,0.011281697958903825,0.006277695716395804,0.6747267865983968,0.1419691147897992
cora,random,2,1757,326,1757 -> 957 -> 1358 -> 154 -> 1752 -> 1754 -> 326,7,0.13326124189603938,6.0,0.0,0.8212546825408935,0.0007053413889767688,0.013803890553890696,0.0077548005908418816,0.6231888271907318,0.13326124189603938
cora,random,3,68,2045,68 -> 1358 -> 613 -> 341 -> 2045,5,0.13100018049328022,4.0,0.5,0.8272793507575988,0.00426998298985981,0.010237548562548465,0.005169867060561217,0.6241860712201817,0.13100018049328022
cora,random,4,341,1772,341 -> 613 -> 1358 -> 1712 -> 1725 -> 1072 -> 306 -> 1772,8,0.13057023300566495,7.0,0.14285714285714285,0.8017891556024552,0.0025508218151168278,0.016331186664642394,0.006646971935007295,0.6068948478290253,0.13057023300566495
cora,random,5,1709,139,1709 -> 1986 -> 335 -> 1701 -> 1856 -> 1335 -> 2087 -> 306 -> 139,9,0.12759784545590952,8.0,0.25,0.7647645526462131,0.00298190716533451,0.013502908896658838,0.019940915805022108,0.5711015778761857,0.12759784545590952
cora,random,6,1620,236,1620 -> 2450 -> 754 -> 1358 -> 1072 -> 417 -> 306 -> 236,8,0.12327124471484288,7.0,0.14285714285714285,0.8113221436738969,0.007535470896471753,0.014667495004994896,0.006277695716395804,0.574465842131433,0.12327124471484288
cora,random,7,289,1620,289 -> 1722 -> 1358 -> 1620,4,0.11771844505074476,3.0,0.0,0.8141281217336654,0.0006537579974230504,0.007916629897879363,0.004800590841949726,0.5631577837740656,0.11771844505074476
