,SP,KD,Top10,Top20
Degree,0.6569256779177685,0.5040639373620769,0.5,0.75
PR,0.5437246963562753,0.37112010796221323,0.4,0.7
K-shell,0.6018233645639681,0.5038078390141028,0.4,0.8
MLP,-0.2,-0.12820512820512822,0.2,0.4
GCN,0.3834008097165992,0.2928475033738192,0.3,0.8
SAGE,0.2048582995951417,0.13630229419703105,0.3,0.6
GAT,0.33421052631578946,0.21997300944669368,0.4,0.7
Ours,0.1311740890688259,0.07152496626180838,0.5,0.55
