,SP,KD,Top10,Top20
Degree,0.6625666013642373,0.49753300600275596,0.8,0.6
PR,0.39212459105820163,0.2775881955636169,0.5,0.4
K-shell,0.7531936294249284,0.5938675002789549,0.0,0.1
MLP,0.6967280282561652,0.5163958759280916,0.2,0.35
GCN,0.7894727238230445,0.6212642489473797,0.9,0.85
SAGE,0.7594293819965088,0.5728198021188711,0.2,0.3
GAT,0.7948194653555642,0.6054004728792464,0.5,0.45
Ours,0.9044626633136817,0.755541203323114,0.5,0.4
