method,num_paths,avg_path_length,std_path_length,avg_cross_comm_ratio,std_cross_comm_ratio,avg_fragility_score,std_fragility_score,avg_internal_node_importance,std_internal_node_importance
betweenness,10,5.0,0.0,0.25,0.0,0.18041068799765053,0.012647277514167525,0.81244535724322,0.0008110010623931907
node_score,10,4.8,1.32664991614216,0.2678571428571429,0.1669427984645749,0.15224655100140302,0.014295918679231337,0.8202360085646312,0.011802900649622384
shortest,10,4.8,0.7483314773547882,0.2733333333333333,0.12206555615733704,0.15123048938594108,0.018204610225229022,0.8078468475739161,0.02479626189969639
random,10,4.9,1.57797338380595,0.18428571428571427,0.21697832112156895,0.13309706772851274,0.024676879221726303,0.8098674802581469,0.011270256362463963
rule,10,5.5,1.746424919657298,0.44785714285714284,0.19130311572519618,0.10009217873760753,0.04324697757567529,0.788693760789576,0.036997629151092885
