method,num_paths,avg_pairwise_edge_overlap,std_pairwise_edge_overlap,max_pairwise_edge_overlap,avg_pairwise_node_overlap,std_pairwise_node_overlap,max_pairwise_node_overlap,unique_edge_coverage,unique_internal_node_coverage,avg_unique_edges_per_path,avg_unique_internal_nodes_per_path,total_path_edges,total_internal_nodes_with_repetition,edge_coverage_ratio,internal_node_coverage_ratio
rule,10,0.0,0.0,0.0,0.01274114774114774,0.030592962261909894,0.125,67,53,6.7,5.3,67,57,1.0,0.9298245614035088
random,10,0.01957752124418791,0.053005821883933546,0.2222222222222222,0.13788520121853456,0.08113459748353745,0.3333333333333333,48,31,4.8,3.1,54,44,0.8888888888888888,0.7045454545454546
node_score,10,0.0710405643738977,0.14902580376722283,0.6,0.27561728395061713,0.26040292177457447,1.0,33,19,3.3,1.9,45,35,0.7333333333333333,0.5428571428571428
shortest,10,0.13074074074074074,0.19757653792946173,0.6,0.41888888888888887,0.31594654962860763,1.0,20,8,2.0,0.8,38,28,0.5263157894736842,0.2857142857142857
betweenness,10,0.2624691358024691,0.17790564674406278,0.6,0.7149206349206347,0.366808328300019,1.0,22,8,2.2,0.8,43,33,0.5116279069767442,0.24242424242424243
