,SP_mean,SP_std,KD_mean,KD_std
Full,0.8551555651731719,0.018648373799908226,0.6765953801822071,0.023057091752453965
No_TopK,0.8708877689019181,0.012071434951074714,0.696784999331243,0.012772255672105699
No_BetaRank,0.8528440389324992,0.016933562050921506,0.6737765427215675,0.020461560275854315
No_BetaReg,0.8565057633422812,0.017735231016294022,0.6782463487489319,0.021359339557179113
No_Monotonic,0.8549628270764978,0.019463045599329796,0.6762781723235884,0.023849474180208385
