,SP,KD,Top10,Top20
Degree,0.7043300822418058,0.5307009698947143,0.8,0.75
PR,0.47014889035662943,0.3313774498903437,0.6,0.55
K-shell,0.7666092067776031,0.599404423014182,0.1,0.15
MLP,0.6932889751237867,0.5102858348530267,0.0,0.0
GCN,0.7641926894001938,0.5776998676826094,0.8,0.8
SAGE,0.7104950376505456,0.5307793569599867,0.0,0.05
GAT,0.740210459216261,0.5543754532699741,0.1,0.3
Ours,0.8515578173570688,0.6791004074646814,0.0,0.0
