,SP,KD,Top10,Top20
Degree,0.6431106777681777,0.492757007985595,0.3,0.25
PR,0.33612298383640415,0.22795993146562427,0.2,0.2
K-shell,0.653147677044164,0.5313841056513667,0.3,0.25
MLP,0.4707401629996151,0.3328440466725109,0.1,0.25
GCN,0.7168771368815412,0.5353135851800507,0.5,0.45
SAGE,0.5450489256680022,0.38697817917405686,0.4,0.3
GAT,0.7535139746506337,0.5676200960904636,0.4,0.4
Ours,0.8271411987763037,0.6451720318308155,0.2,0.4
