dataset,semantic_dim,mean_spearman,std,num_seeds
Physics,16,0.9504734389241198,0.001384120938069437,5
Physics,32,0.9497669485521545,0.0012375700075325398,5
Physics,64,0.9491167561660273,0.001343664148764931,5
Physics,128,0.948928252578851,0.0017396452822545394,5
Physics,256,0.9478145371326244,0.0012679687794168834,5
