,SP,KD,Top10,Top20
Degree,0.7871347992625719,0.611640948302918,0.2,0.4
PR,0.5653443107269136,0.39804962390394033,0.0,0.35
K-shell,0.8325163852439703,0.6777064541124054,0.2,0.2
MLP,0.7903914658808949,0.5970367321618527,0.5,0.55
GCN,0.8656515545110537,0.6877073845651742,0.7,0.85
SAGE,0.8171569721031441,0.6259155383613882,0.5,0.65
GAT,0.8366749473938209,0.6391255974195879,0.2,0.2
Ours,0.9391278038562565,0.7874368910846512,0.2,0.3
