,SP,KD,Top10,Top20
Degree,0.6165408450890474,0.4765683677715729,0.3,0.3
PR,0.3852536993772209,0.25354185069069307,0.0,0.0
K-shell,0.6563665008348686,0.5291077851973135,0.3,0.45
MLP,0.614494649623102,0.44410955045884315,0.2,0.3
GCN,0.6543680358221337,0.4837430447444898,0.8,0.75
SAGE,0.6038498094804364,0.4364748935612038,0.1,0.3
GAT,0.6775644721967038,0.49607984983786213,0.1,0.2
Ours,0.860595359001766,0.6848255342517253,0.4,0.4
